=================================
=  Morocco

Benjamin Bouchouari,          M,  1.65 m,  b. 13 Nov 2011 @ Borgerhout
Sofiane Boufal,               M,  1.70 m,  b. 17 Sep 1993 @ Paris
Sofian Chakla,                D,  1.88 m,  b. 2 Sep 1993 @ Kenitra
Ayoub El Kaabi,               F,  1.82 m,  b. 26 Jun 1993 @ Casablanca
Badr Boulahroud,              M,  1.78 m,  b. 21 Apr 1993 @ Rabat
Tarik Tissoudali,             F,  1.75 m,  b. 2 Apr 1993 @ Amsterdam
Hakim Ziyech,                 M,  1.80 m,  b. 19 Mar 1993 @ Dronten
Zakaria Labyad,               M,  1.70 m,  b. 9 Mar 1993 @ Utrecht
Mohamed Chibi,                D,  1.75 m,  b. 21 Jan 1993 @ Casablanca

Amine Oudrhiri,               M,  1.84 m,  b. 4 Nov 1992 @ Ermont
Rachid Alioui,                F,  1.86 m,  b. 18 Jun 1992 @ La Rochelle
Jawad El Yamiq,               D,  1.90 m,  b. 29 Feb 1992 @ Khourigba
Achraf Lazaar,                D,  1.73 m,  b. 22 Jan 1992 @ Casablanca

Adrien Regattin,              M,  1.66 m,  b. 22 Aug 1991 @ Sète
Mehdi Bourabia,               M,  1.83 m,  b. 7 Aug 1991 @ Dijon
Yahya Jabrane,                M,  1.87 m,  b. 18 Jun 1991 @ Settat
Adil Rhaili,                  D,  1.92 m,  b. 25 Apr 1991 @ Casablanca
Yassine Bounou,               G,  1.92 m,  b. 5 Apr 1991 @ Montreal
Yacine Qasmi,                 F,  1.83 m,  b. 3 Jan 1991 @ Pontoise

Abderrazak Hamdallah,         F,  1.79 m,  b. 17 Dec 1990 @ Safi
Hamadi Al Ghaddioui,          F,  1.90 m,  b. 22 Sep 1990 @ Bonn
Omar El Kaddouri,             M,  1.85 m,  b. 21 Aug 1990 @ Brussels
Yassine El Ghanassy,          M,  1.75 m,  b. 12 Jul 1990 @ La Louvière
Soufiane Bidaoui,             F,  1.76 m,  b. 20 Apr 1990 @ Etterbeek
Romain Saïss,                 D|M,1.90 m,  b. 26 Mar 1990 @ Bourg-de-Péage
Abdelhamid El Kaoutari,       D,  1.80 m,  b. 17 Mar 1990 @ Montpellier
Younès Belhanda,              M,  1.74 m,  b. 25 Feb 1990 @ Avignon

Issam Chebake,                D,  1.76 m,  b. 12 Oct 1989 @ Agadir
Mehdi Carcela-Gonzalez,       M,  1.76 m,  b. 1 Jul 1989 @ Liège
Adel Taarabt,                 M,  1.80 m,  b. 24 May 1989 @ Fez
Munir,                        G,  1.90 m,  b. 10 May 1989 @ Melilla
Mohamed Amsif,                G,  1.87 m,  b. 7 Feb 1989 @ Düsseldorf
Zakarya Bergdich,             D,  1.78 m,  b. 7 Jan 1989 @ Paris
Zouhair Feddal,               D,  1.91 m,  b. 1 Jan 1989 @ Tétouan

Ismaïl Aissati,               M,  1.74 m,  b. 16 Aug 1988 @ Utrecht
Oussama Assaidi,              M,  1.78 m,  b. 5 Aug 1988 @ Beni Boughafar
Fayçal Fajr,                  M,  1.78 m,  b. 1 Aug 1988 @ Rouen
Moestafa El Kabir,            F,  1.77 m,  b. 10 May 1988 @ Targuist

Yunis Abdelhamid,             D,  1.89 m,  b. 28 Sep 1987 @ Montpellier
Khalid Boutaïb,               F,  1.90 m,  b. 24 Apr 1987 @ Bagnols sur Cèze
Mehdi Benatia,                D,  1.90 m,  b. 17 Apr 1987 @ Courcouronnes
Nordin Amrabat,               M,  1.81 m,  b. 31 Mar 1987 @ Naarden
Aziz Bouhaddouz,              F,  1.88 m,  b. 30 Mar 1987 @ Berkane
Youssef El Arabi,             F,  1.83 m,  b. 3 Feb 1987 @ Caen

Fouad Chafik,                 D,  1.83 m,  b. 16 Oct 1986 @ Pierrelatte
Manuel Da Costa,              D,  1.91 m,  b. 6 May 1986 @ Saint-Max
Nabil Dirar,                  M,  1.82 m,  b. 25 Feb 1986 @ Casablanca

Karim El Ahmadi,              M,  1.85 m,  b. 27 Jan 1985 @ Enschede

Mbark Boussoufa,              M,  1.68 m,  b. 15 Aug 1984 @ Amsterdam
Marouane Chamakh,             F,  1.85 m,  b. 10 Jan 1984 @ Tonnens
