=================================
=  Denmark

Thomas Gundelund,             D,  1.78 m,  b. 6 Nov 2001 @ Skive
Emeka Nnamani,                F,  1.78 m,  b. 4 Nov 2001 @ Rødovre
Mads Winther,                 D,  - ,      b. 20 Oct 2001
Jannick Liburd,               M,  - ,      b. 26 Sep 2001
Mads Larsen,                  M,  1.83 m,  b. 20 Sep 2001 @ Esbjerg
Alexander Jensen,             M,  1.80 m,  b. 24 Aug 2001
Max Fenger,                   F,  1.82 m,  b. 7 Aug 2001 @ Roskilde
Marcus Bundgaard,             G,  1.97 m,  b. 5 Aug 2001
Pelle Mattsson,               M,  1.81 m,  b. 4 Aug 2001
Arman Taranis,                F,  1.80 m,  b. 30 Jul 2001 @ Haderslev
Nicolas Hansen,               G,  - ,      b. 10 Jul 2001
Tobias Klysner,               M|F,- ,      b. 3 Jul 2001
Jacob Steen Christensen,      M,  1.80 m,  b. 25 Jun 2001 @ Copenhagen
Rasmus Nissen,                F,  - ,      b. 25 Jun 2001
Mads Steenberg,               D,  - ,      b. 22 Jun 2001
Mikkel Lassen,                D,  1.81 m,  b. 19 Jun 2001 @ Odder
Nikolas Dyhr,                 D,  1.77 m,  b. 18 Jun 2001 @ Horsens
Oliver Bundgaard,             D,  1.82 m,  b. 15 Jun 2001 @ Randers
Daniel Gadegaard Andersen,    G,  1.91 m,  b. 31 May 2001
Albert Grønbæk Erlykke,       M,  1.85 m,  b. 23 May 2001 @ Risskov
Marc Nielsen,                 D,  - ,      b. 16 May 2001
Oliver Rimmen,                F,  1.70 m,  b. 7 May 2001 @ Odense
Willads Delvin,               M,  - ,      b. 2 May 2001
Christian Vestergaard,        D,  - ,      b. 26 Apr 2001
Gustav Isaksen,               M,  1.78 m,  b. 19 Apr 2001 @ Hjerk
Gustav Mogensen,              F,  1.90 m,  b. 19 Apr 2001 @ Pindstrup
Thomas Christiansen,          D,  - ,      b. 19 Apr 2001
Malthe Højholt,               M,  - ,      b. 16 Apr 2001
Mads Hansen,                  M,  1.74 m,  b. 10 Apr 2001 @ Haderslev
Morten Frendrup,              M,  1.78 m,  b. 7 Apr 2001 @ Holbæk
Valdemar Birksø,              G,  - ,      b. 17 Mar 2001 @ Brande
Anis Slimane,                 M,  1.88 m,  b. 16 Mar 2001 @ Copenhagen
Andreas Foged,                G,  - ,      b. 12 Mar 2001
Tobias Anker,                 D,  1.94 m,  b. 6 Mar 2001 @ Herning
Andreas Pyndt,                M,  1.75 m,  b. 4 Mar 2001 @ Allerød
Jeppe Pedersen,               M,  1.81 m,  b. 3 Mar 2001 @ Hirtshals
Mads Bidstrup,                M,  - ,      b. 25 Feb 2001 @ Køge
Thor Höholt,                  D,  1.77 m,  b. 22 Feb 2001 @ Asnæs
Muamer Brajanac,              M,  1.89 m,  b. 15 Feb 2001 @ Kolding
Roni Arabaci,                 F,  1.76 m,  b. 14 Feb 2001 @ Copenhagen
Tarik Ibrahimagic,            M,  1.84 m,  b. 23 Jan 2001 @ Odense
