=================================
=  Ghana

Ato Ampah,                    F,  - ,      b. 22 Apr 2006 @ Accra
Emmanuel Sowah,               D,  1.82 m,  b. 16 Jan 1998

Emmanuel Lomotey,             D|M,1.90 m,  b. 19 Dec 1997 @ Accra
Nicholas Opoku,               D,  1.90 m,  b. 8 Nov 1997 @ Kumasi
Elisha Owusu,                 M,  1.79 m,  b. 7 Nov 1997 @ Montreuil
Corey Addai,                  G,  1.93 m,  b. 10 Oct 1997 @ Hackney
Majeed Ashimeru,              M,  1.82 m,  b. 10 Oct 1997 @ Accra
Bernard Tekpetey,             F,  1.72 m,  b. 3 Sep 1997 @ Accra
Eric Ocansey,                 F,  1.73 m,  b. 22 Aug 1997 @ Tema
Patrick Kpozo,                D|M,1.67 m,  b. 15 Jul 1997 @ Accra
Benjamin Tetteh,              F,  1.90 m,  b. 10 Jul 1997 @ Accra
Owusu Kwabena,                F,  1.82 m,  b. 18 Jun 1997 @ Accra
Emmanuel Boateng,             M,  1.68 m,  b. 17 Jun 1997 @ Akwatia
Leonard Owusu,                M,  1.81 m,  b. 3 Jun 1997 @ Accra
Samuel Obeng,                 F,  1.83 m,  b. 15 May 1997 @ Nsapor
Joel Fameyeh,                 F,  1.80 m,  b. 14 May 1997 @ Kumasi
Asumah Abubakar,              F,  1.83 m,  b. 10 May 1997 @ Kamasu
Yaw Yeboah,                   M,  1.69 m,  b. 28 Mar 1997 @ Accra
Isaac Boakye,                 M,  1.76 m,  b. 20 Mar 1997 @ Accra
Richmond Lamptey,             M,  1.76 m,  b. 18 Mar 1997 @ Accra
Musah Nuhu,                   D,  1.95 m,  b. 17 Jan 1997 @ Accra

David Atanga,                 M,  1.80 m,  b. 25 Dec 1996 @ Bolgatanga
Kennedy Boateng,              D,  1.91 m,  b. 29 Nov 1996
Lawrence Ati-Zigi,            G,  1.84 m,  b. 29 Nov 1996 @ Accra
Naeem Mohammed,               F,  1.75 m,  b. 11 Nov 1996
Reuben Acquah,                M,  1.82 m,  b. 3 Nov 1996 @ Accra
Sadam Sulley,                 F,  1.90 m,  b. 16 Oct 1996 @ Zebilla
Thomas Agyepong,              M,  1.83 m,  b. 10 Oct 1996 @ Accra
Nasiru Moro,                  D,  1.90 m,  b. 24 Sep 1996 @ Accra
Jojo Wollacott,               G,  1.90 m,  b. 8 Sep 1996 @ Bristol
Ransford Selasi,              M,  1.80 m,  b. 19 Aug 1996 @ Accra
Lumor Agbenyenu,              D,  1.75 m,  b. 15 Aug 1996 @ Accra
Stephen Hammond,              M,  1.70 m,  b. 6 Aug 1996 @ Accra
Samuel Tetteh,                F,  1.80 m,  b. 28 Jul 1996 @ Accra
Sirlord Conteh,               F,  1.78 m,  b. 9 Jul 1996 @ Hamburg
Godfred Donsah,               M,  1.76 m,  b. 7 Jun 1996 @ Accra
Emmanuel Boateng,             F,  1.75 m,  b. 23 May 1996 @ Accra
Seth Paintsil,                M|F,1.67 m,  b. 20 May 1996 @ Accra
Emmanuel Antwi,               D,  1.70 m,  b. 5 May 1996
Samuel Owusu,                 M,  1.67 m,  b. 28 Mar 1996 @ Accra
Emmanuel Ntim,                D,  1.79 m,  b. 12 Mar 1996 @ Kumasi
Daniel-Kofi Kyereh,           M|F,1.79 m,  b. 8 Mar 1996 @ Accra
Abdul Kadiri Mohammed,        D|M,1.94 m,  b. 7 Mar 1996 @ Obuasi
Iddrisu Baba,                 M,  1.85 m,  b. 22 Jan 1996 @ Accra
Bright Gyamfi,                D,  1.78 m,  b. 20 Jan 1996 @ Accra
Nana Ampomah,                 F,  1.75 m,  b. 2 Jan 1996 @ Tema

Tariqe Fosu,                  M,  1.70 m,  b. 5 Nov 1995 @ Wandsworth
Joseph Aidoo,                 D,  1.80 m,  b. 29 Sep 1995 @ Tema
Raphael Dwamena,              F,  1.84 m,  b. 12 Sep 1995 @ Nkawkaw
Ernest Antwi,                 F,  1.75 m,  b. 9 Sep 1995 @ Accra
Isaac Donkor,                 D,  1.80 m,  b. 15 Aug 1995 @ Kumasi
Ebenezer Ofori,               M,  1.79 m,  b. 1 Jul 1995 @ Kumasi
