=================================
=  Greece

Athanasios Christopoulos,     D,  - ,      b. 5 Jan 2008
Giorgos Kanellopoulos,        M,  1.73 m,  b. 29 Jan 2000 @ Tripoli
Nikos Christogeorgos,         G,  1.90 m,  b. 18 Jan 2000 @ Marousi
Marios Vichos,                D,  1.80 m,  b. 14 Jan 2000 @ Itea
Fotis Ioannidis,              F,  1.86 m,  b. 10 Jan 2000 @ Athens

Zisis Chatzistravos,          M,  1.70 m,  b. 16 Dec 1999 @ Serres
Christoforos Karagiannis,     M,  1.75 m,  b. 9 Dec 1999 @ Athens
Georgios Sournakis,           M,  - ,      b. 7 Nov 1999 @ Heraklion
Panagiotis Liagas,            D,  1.89 m,  b. 5 Nov 1999 @ Karpenisi
Georgios Tzovaras,            D|F,1.86 m,  b. 3 Nov 1999 @ Volos
Gerasimos Mitoglou,           D,  1.95 m,  b. 20 Oct 1999
Marios Siabanis,              G,  1.87 m,  b. 28 Sep 1999 @ Katerini
Giorgos Nikas,                M,  1.88 m,  b. 17 Sep 1999 @ Thiva
Georgios Xenitidis,           M,  - ,      b. 4 Sep 1999
Vasilis Kostikas,             F,  1.74 m,  b. 4 Sep 1999
Alexandros Safarikas,         G,  1.94 m,  b. 26 Aug 1999 @ Veria
Vasilis Chatziemmanouil,      G,  1.88 m,  b. 9 Aug 1999 @ Nea Makri
Tasos Douvikas,               F,  1.84 m,  b. 2 Aug 1999 @ Athens
Dimitrios Tsakmakis,          D,  1.87 m,  b. 28 Jul 1999 @ Thessaloniki
Angelos Tsigaras,             M,  1.73 m,  b. 24 Jul 1999 @ Portaria
Vasilis Athanasiou,           G,  1.88 m,  b. 24 Jul 1999 @ Aigio
Antonis Tsiftsis,             G,  1.91 m,  b. 21 Jul 1999 @ Giannitsa
Paris Babis,                  M,  1.72 m,  b. 17 Jul 1999 @ Athens
Panagiotis Pritsas,           M,  - ,      b. 9 Jul 1999
Nikos Zografakis,             M,  1.76 m,  b. 7 Jul 1999 @ Berlin
Kostas Dimitriou,             D,  1.85 m,  b. 30 Jun 1999 @ Thessaloniki
