=================================
=  Ireland

Edwin Agbaje,                 D,  - ,      b. 25 Jan 2004 @ Edenderry
John Ryan,                    D,  - ,      b. 21 Jan 2004
James Abankwah,               D,  1.85 m,  b. 16 Jan 2004 @ Dublin
Sean Carey,                   D,  1.84 m,  b. 16 Jan 2004 @ Dublin
Craig Moore,                  D,  - ,      b. 14 Jan 2004
Emmanuel Milongo,             D,  - ,      b. 14 Jan 2004
Michael Leddy,                F,  - ,      b. 14 Jan 2004 @ Drogheda
Seán Grehan,                  D,  - ,      b. 8 Jan 2004
Kieran Cruise,                D,  - ,      b. 3 Jan 2004
Tom Lonergan,                 F,  1.80 m,  b. 2 Jan 2004 @ Dublin

Kian Corbally,                M,  1.75 m,  b. 31 Dec 2003 @ Dublin
Leigh Kavanagh,               D,  - ,      b. 27 Dec 2003
Arron Curtis,                 G,  1.93 m,  b. 19 Dec 2003
Tommi O'Reilly,               M,  1.70 m,  b. 15 Dec 2003
Tayo Adaramola,               D,  - ,      b. 13 Nov 2003 @ Dublin
Cristiano Fitzgerald,         F,  1.74 m,  b. 10 Nov 2003 @ Singapore
Dylan Molloy,                 D,  1.90 m,  b. 7 Nov 2003 @ Swords
Killian Cahill,               G,  1.82 m,  b. 3 Nov 2003 @ Skryne
Aidomo Emakhu,                M,  1.80 m,  b. 26 Oct 2003 @ Dublin
Sean McAteer,                 M,  - ,      b. 25 Oct 2003
Connor O'Riordan,             D,  1.93 m,  b. 19 Oct 2003 @ Crewe
Arlo Doherty,                 G,  - ,      b. 16 Oct 2003 @ Camden
Andy Moran,                   M,  1.77 m,  b. 15 Oct 2003 @ Dublin
David Okagbue,                D,  - ,      b. 5 Oct 2003
Abel Alabi,                   D,  - ,      b. 28 Sep 2003
Jack Henry-Francis,           M,  - ,      b. 23 Sep 2003 @ Croydon
Emmanuel Adegboyega,          D,  1.91 m,  b. 16 Sep 2003 @ Dundalk
Reagan Lennon,                M,  - ,      b. 8 Sep 2003
Calum Kavanagh,               F,  - ,      b. 5 Sep 2003 @ Cardiff
Ryan Bowden,                  D,  1.88 m,  b. 19 Aug 2003 @ Athy
Ryan O'Kane,                  F,  1.72 m,  b. 16 Aug 2003 @ Dundalk
Mayowa Animasahun,            D,  1.84 m,  b. 8 Aug 2003 @ Dundalk
Patrick McGarvey,             G,  - ,      b. 2 Aug 2003
Sami Clarke,                  F,  1.83 m,  b. 31 Jul 2003 @ Mullingar
Oran Crowe,                   M,  - ,      b. 14 Jul 2003
Jack McCarthy,                G,  - ,      b. 1 Jul 2003
Jamie Egan,                   D,  - ,      b. 1 Jul 2003
Cian Hayes,                   F,  1.70 m,  b. 29 Jun 2003 @ Preston
Kailin Barlow,                M,  - ,      b. 28 Jun 2003
Sinclair Armstrong,           F,  1.82 m,  b. 22 Jun 2003 @ Dublin
Tiernan Brooks,               G,  1.91 m,  b. 17 Jun 2003 @ Sheffield
Johnny Kenny,                 F,  - ,      b. 6 Jun 2003
Robbie Mahon,                 F,  1.78 m,  b. 6 Jun 2003 @ Dublin
Bosun Lawal,                  D,  - ,      b. 30 May 2003
Divin Isamala,                D,  1.91 m,  b. 25 May 2003 @ Dublin
Aaron Doran,                  M,  - ,      b. 23 May 2003
Josh Keeley,                  G,  1.91 m,  b. 17 May 2003 @ Dublin
Adetobi Jinadu,               F,  - ,      b. 9 May 2003 @ Dublin
Zak Gilsenan,                 M,  1.77 m,  b. 8 May 2003 @ Joondalup
Ben McCormack,                M,  1.77 m,  b. 4 Apr 2003 @ Dublin
Baba Adeeko,                  M,  - ,      b. 3 Apr 2003
Kian Moore,                   G,  - ,      b. 31 Mar 2003
Adam Wells,                   D,  - ,      b. 26 Mar 2003
Alex Nolan,                   F,  - ,      b. 20 Mar 2003 @ Dublin
Kyle O'Connor,                M,  - ,      b. 14 Mar 2003
Liam Kervick,                 M,  - ,      b. 14 Mar 2003
Peter Maguire,                D,  - ,      b. 11 Mar 2003
Jeff Nwodo,                   D,  - ,      b. 4 Mar 2003
Evan Caffrey,                 M,  - ,      b. 27 Feb 2003
Anselmo García MacNulty,      D,  1.87 m,  b. 19 Feb 2003 @ Seville
Daniel Norris,                M,  - ,      b. 17 Feb 2003
Danny Norris,                 M,  - ,      b. 17 Feb 2003
Val Adedokun,                 F,  1.80 m,  b. 14 Feb 2003 @ Dublin
Sean Roughan,                 D,  1.83 m,  b. 9 Feb 2003 @ Dublin
Cian Byrne,                   D,  1.86 m,  b. 31 Jan 2003 @ Dublin
Gavin O'Brien,                D,  - ,      b. 30 Jan 2003
Matthew O'Brien,              M,  1.76 m,  b. 24 Jan 2003 @ Louth
Ross Fay,                     M,  - ,      b. 22 Jan 2003
Conan Noonan,                 F,  1.80 m,  b. 17 Jan 2003
Dylan Gavin,                  M,  - ,      b. 16 Jan 2003
Ollie O'Neill,                M,  - ,      b. 8 Jan 2003 @ Hammersmith
Joe O'Shaughnessy,            G,  1.99 m,  b. 5 Jan 2003 @ Warrington
Cian Kavanagh,                F,  1.86 m,  b. 3 Jan 2003 @ Dublin

Thomas Cannon,                F,  - ,      b. 28 Dec 2002 @ Aintree
Adam McCaffrey,               D,  1.78 m,  b. 13 Dec 2002 @ Monaghan
Patrick Ferry,                F,  1.79 m,  b. 13 Dec 2002 @ Letterkenny
Dara Costelloe,               F,  1.75 m,  b. 11 Dec 2002 @ Limerick
Michael Harris,               M,  - ,      b. 11 Dec 2002
Ayodeji Sotona,               F,  - ,      b. 7 Dec 2002 @ Waterford
Deji Sotona,                  F,  1.79 m,  b. 7 Dec 2002 @ Waterford
Dylan Duffy,                  M,  1.68 m,  b. 28 Nov 2002 @ Dublin
Damian Duffy,                 M,  1.73 m,  b. 12 Nov 2002 @ Gleneely
Kyle Robinson,                F,  1.82 m,  b. 8 Nov 2002 @ Dublin
Matt Everitt,                 M,  - ,      b. 24 Oct 2002
Ademipo Odubeko,              F,  - ,      b. 21 Oct 2002 @ Dublin
Mazeed Ogungbo,               D,  1.88 m,  b. 20 Oct 2002
Enda Douglas,                 D,  - ,      b. 22 Sep 2002
Tony Springett,               M,  1.74 m,  b. 22 Sep 2002 @ Lewisham
Joe Hodge,                    M,  1.77 m,  b. 14 Sep 2002 @ Manchester
Sam Oguntayo,                 D,  - ,      b. 28 Aug 2002
Aaron Davis,                  G,  - ,      b. 23 Aug 2002
Ethon Varian,                 F,  1.83 m,  b. 11 Aug 2002 @ Cork
Darragh Burns,                M|F,1.76 m,  b. 6 Aug 2002 @ Dublin
