=================================
=  Slovenia

Zlatan Ljubijankič,           F,  1.82 m,  b. 15 Dec 1983 @ Ljubljana
Marko Šuler,                  D,  1.86 m,  b. 9 Mar 1983 @ Slovenj Gradec
Branko Ilič,                  D,  1.88 m,  b. 6 Feb 1983 @ Ljubljana

Boštjan Cesar,                D,  1.91 m,  b. 9 Jul 1982 @ Ljubljana

Robert Koren,                 M,  1.75 m,  b. 20 Sep 1980 @ Ljubljana
Aleksander Šeliga,            G,  1.87 m,  b. 1 Feb 1980 @ Celje

Andrej Komac,                 M,  1.76 m,  b. 4 Dec 1979 @ Nova Gorica
Milivoje Novakovič,           F,  1.92 m,  b. 18 May 1979 @ Ljubljana
Aleksandar Radosavljevič,     M,  1.82 m,  b. 25 Apr 1979 @ Kranj
Matej Mavrič,                 D,  1.87 m,  b. 29 Jan 1979 @ Koper

Suad Filekovič,               D,  1.90 m,  b. 16 Sep 1978 @ Ljubljana
Jasmin Handanovič,            G,  1.96 m,  b. 28 Jan 1978 @ Ljubljana
