=================================
=  Serbia

Matija Popović,               M,  1.93 m,  b. 8 Jan 2006 @ Altötting
Miloš Vulić,                  M,  1.83 m,  b. 19 Aug 1996 @ Kruševac
Saša Lukić,                   M,  1.83 m,  b. 13 Aug 1996 @ Šabac
Ivan Kricak,                  D,  1.82 m,  b. 19 Jul 1996 @ Belgrade
Andrija Živković,             M,  1.70 m,  b. 11 Jul 1996 @ Niš
Miloš Pantović,               M|F,1.85 m,  b. 7 Jul 1996 @ Munich
Filip Bainović,               M,  1.76 m,  b. 23 Jun 1996 @ Pozarevac
Miloš Vranjanin,              D,  1.90 m,  b. 11 Jun 1996 @ Belgrade
Filip Kusić,                  D,  1.87 m,  b. 3 Jun 1996 @ Augsburg
Boris Radunović,              G,  1.94 m,  b. 26 May 1996 @ Belgrade
Vukašin Jovanović,            D,  1.88 m,  b. 17 May 1996 @ Belgrade
Srdjan Babić,                 D,  1.92 m,  b. 22 Apr 1996 @ Banja Luka
Marko Grujić,                 M,  1.91 m,  b. 13 Apr 1996 @ Belgrade
Djordje Denić,                M,  1.82 m,  b. 1 Apr 1996 @ Belgrade
Nemanja Radonjić,             M,  1.85 m,  b. 15 Feb 1996 @ Niš
Milan Gajić,                  D,  1.78 m,  b. 28 Jan 1996 @ Vukovar
Dejan Kerkez,                 D,  1.90 m,  b. 20 Jan 1996 @ Novi Sad
Nenad Cvetković,              D,  1.95 m,  b. 6 Jan 1996 @ Užice

Nikola Maraš,                 D,  1.92 m,  b. 19 Dec 1995 @ Belgrade
Srdjan Plavšić,               M,  1.66 m,  b. 3 Dec 1995 @ Novi Sad
Mihailo Ristić,               D,  1.83 m,  b. 31 Oct 1995 @ Bijeljina
Predrag Rajković,             G,  1.91 m,  b. 31 Oct 1995 @ Negotin
Miloš Šatara,                 D,  1.90 m,  b. 28 Oct 1995 @ Gradiška
Ivan Kostić,                  G,  1.91 m,  b. 24 Oct 1995 @ Knjaževac
Milan Makarić,                F,  1.85 m,  b. 4 Oct 1995 @ Novi Sad
Dejan Dražić,                 M,  1.75 m,  b. 26 Sep 1995 @ Sombor
Miloš Veljković,              D|M,1.73 m,  b. 26 Sep 1995 @ Basel
Radovan Pankov,               D,  1.85 m,  b. 5 Aug 1995 @ Novi Sad
Filip Dmitrović,              G,  1.91 m,  b. 28 Jul 1995 @ Kraljevo
Aleksandar Vukotić,           D,  2.01 m,  b. 22 Jul 1995 @ Kraljevo
Komnen Andrić,                F,  1.89 m,  b. 1 Jul 1995 @ Novi Pazar
Nikola Šipčić,                D,  1.92 m,  b. 17 May 1995 @ Priboj
Nemanja Antonov,              D,  1.82 m,  b. 6 May 1995 @ Pančevo
Sasa Zdjelar,                 M,  1.84 m,  b. 20 Mar 1995 @ Belgrade
Sergej Milinković-Savić,      M,  1.91 m,  b. 27 Feb 1995 @ Lleida
Mijat Gačinović,              M,  1.75 m,  b. 8 Feb 1995 @ Novi Sad
Milos Jovičić,                D,  1.87 m,  b. 29 Jan 1995
Emil Rockov,                  G,  1.88 m,  b. 27 Jan 1995 @ Novi Sad
Nemanja Maksimović,           M,  1.84 m,  b. 26 Jan 1995 @ Banja Koviljača

Nikola Ninković,              F,  1.82 m,  b. 19 Dec 1994 @ Bogatić
Andrija Luković,              M,  1.89 m,  b. 24 Oct 1994 @ Belgrade
Aleksandar Mitrović,          F,  1.89 m,  b. 16 Sep 1994 @ Belgrade
Ivan Miladinović,             D,  1.89 m,  b. 14 Aug 1994 @ Ćuprija
Petar Golubović,              D,  1.84 m,  b. 13 Jul 1994 @ Belgrade
Bojan Nastić,                 D,  1.77 m,  b. 6 Jul 1994 @ Novi Sad
Mihailo Cmiljanović,          D,  1.80 m,  b. 15 Jun 1994 @ Prijepolje
Bojan Djordjić,               M,  1.76 m,  b. 26 May 1994 @ Sombor
Uroš Radaković,               D,  1.94 m,  b. 31 Mar 1994 @ Novi Sad
Lazar Marković,               M,  1.75 m,  b. 2 Mar 1994 @ Belgrade
Uroš Djurdjević,              F,  1.82 m,  b. 2 Mar 1994 @ Belgrade
Nikola Antić,                 D,  1.78 m,  b. 4 Jan 1994 @ Belgrade

Miloš Stanojević,             M,  1.89 m,  b. 20 Nov 1993 @ Valjevo
Andrija Pavlović,             F,  1.88 m,  b. 16 Nov 1993 @ Belgrade
Aleksandar Radovanović,       D,  1.89 m,  b. 11 Nov 1993 @ Šabac
Srdjan Mijailović,            M,  1.78 m,  b. 10 Nov 1993 @ Požega
