=================================
=  France

Pablo Pagis,                  F,  1.81 m,  b. 29 Dec 2002 @ Montbéliard
Yllan Okou,                   D,  1.80 m,  b. 23 Dec 2002 @ Poitiers
Castello Lukeba,              D,  1.84 m,  b. 17 Dec 2002 @ Lyon
Farès Chaïbi,                 M,  1.83 m,  b. 28 Nov 2002 @ Lyon
Billy Koumetio,               D,  1.95 m,  b. 14 Nov 2002 @ Lyon
Dembo Sylla,                  D,  1.75 m,  b. 10 Nov 2002 @ Laval
Eduardo Camavinga,            M,  1.82 m,  b. 10 Nov 2002 @ Miconje
Djibrili Konte,               F,  1.82 m,  b. 4 Nov 2002 @ Saint-Denis
Johann Lepenant,              M,  1.76 m,  b. 22 Oct 2002 @ Granville
Guéla Doué,                   D,  1.86 m,  b. 17 Oct 2002 @ Angers
Théo Le Bris,                 M,  1.65 m,  b. 1 Oct 2002 @ Rennes
Noam Emeran,                  F,  1.79 m,  b. 24 Sep 2002 @ Paray-le-Monial
Yanis Massolin,               M,  1.97 m,  b. 20 Sep 2002 @ Moulins
Timothée Pembele,             D,  1.84 m,  b. 9 Sep 2002 @ Beaumont-sur-Oise
Farès Ghedjemis,              F,  1.83 m,  b. 6 Sep 2002 @ Montreuil
Bradley Barcola,              F,  1.82 m,  b. 2 Sep 2002 @ Villeurbanne
Dilane Bakwa,                 F,  1.79 m,  b. 26 Aug 2002 @ Créteil
Nabil Aberdin,                D,  - ,      b. 23 Aug 2002 @ Paris
Janis Antiste,                F,  1.83 m,  b. 18 Aug 2002 @ Toulouse
Yoann Cathline,               F,  1.76 m,  b. 22 Jul 2002 @ Champigny-sur-Marne
Enzo Millot,                  M,  1.75 m,  b. 17 Jul 2002 @ Le Chesnay
Adil Aouchiche,               M,  1.81 m,  b. 15 Jul 2002 @ Le Blanc-Mesnil
Fally Mayulu,                 F,  1.93 m,  b. 15 Jul 2002
Théo Borne,                   G,  1.91 m,  b. 15 Jul 2002 @ Montbéliard
Joe-Loic Affamah,             F,  1.75 m,  b. 29 Jun 2002 @ Lomé
Hugo Ekitike,                 F,  1.89 m,  b. 20 Jun 2002 @ Reims
Tanguy Nianzou,               D,  1.87 m,  b. 7 Jun 2002 @ Paris
Albin Demouchy,               D,  1.78 m,  b. 31 May 2002 @ Dieppe
Maxime Estève,                D,  1.93 m,  b. 26 May 2002 @ Montpellier
Théo Zidane,                  M,  1.96 m,  b. 18 May 2002 @ Marseille
Kiliann Sildillia,            D,  1.86 m,  b. 16 May 2002 @ Montigny-lès-Metz
Quentin Merlin,               D,  1.74 m,  b. 16 May 2002 @ Nantes
Chrislain Matsima,            D,  1.90 m,  b. 15 May 2002 @ Colombes
Bradley Locko,                D,  1.80 m,  b. 6 May 2002 @ Ivry-sur-Seine
Skelly Alvero,                M,  1.98 m,  b. 2 May 2002 @ Stains
Sacha Delaye,                 M,  1.71 m,  b. 23 Apr 2002 @ Rennes
Naouirou Ahamada,             M,  1.83 m,  b. 29 Mar 2002 @ Marseille
Nathanaël Mbuku,              F,  1.70 m,  b. 16 Mar 2002 @ Villeneuve-Saint-Georges
Maghnes Akliouche,            M,  1.75 m,  b. 25 Feb 2002 @ Tremblay-en-France
Brandon Soppy,                D,  1.81 m,  b. 21 Feb 2002 @ Argenteuil
Brice Negouai,                D,  1.85 m,  b. 17 Feb 2002 @ Villeurbanne
Lucien Agoumé,                M,  1.85 m,  b. 9 Feb 2002 @ Yaoundé
Arnaud Kalimuendo,            F,  1.75 m,  b. 20 Jan 2002 @ Suresnes
Mohamed Achi,                 M,  1.71 m,  b. 16 Jan 2002 @ Bondy
Étienne Youté Kinkoué,        D,  1.95 m,  b. 14 Jan 2002 @ Lyon
Léo Jousselin,                D,  1.81 m,  b. 2 Jan 2002 @ Nantes

Michael Olise,                M,  1.89 m,  b. 12 Dec 2001
Rassoul Ndiaye,               M,  1.79 m,  b. 11 Dec 2001 @ Besançon
Adrien Truffert,              D,  1.73 m,  b. 20 Nov 2001 @ Liège
Lucas Chevalier,              G,  1.92 m,  b. 6 Nov 2001 @ Calais
Mohamed Kaba,                 M,  1.85 m,  b. 27 Oct 2001 @ Orléans
Joris Chotard,                M,  1.79 m,  b. 24 Sep 2001 @ Orange
Josué Casimir,                F,  1.78 m,  b. 24 Sep 2001 @ Baie-Mahault
Adil Taoui,                   F,  1.79 m,  b. 10 Aug 2001 @ Limoges
Jordy Makengo,                D,  1.91 m,  b. 3 Aug 2001 @ Saint-Denis
Han-Noah Massengo,            M,  1.77 m,  b. 7 Jul 2001 @ Villepinte
Ruben Providence,             F,  1.73 m,  b. 7 Jul 2001 @ Lagny-sur-Marne
Yanis Begraoui,               F,  1.75 m,  b. 4 Jul 2001 @ Étampes
Neil El Aynaoui,              M,  1.85 m,  b. 2 Jul 2001 @ Nancy
Evann Guessand,               F,  1.87 m,  b. 1 Jul 2001 @ Ajaccio
Yannis M'Bemba,               D,  1.90 m,  b. 1 Jul 2001 @ Amiens
Marvin Senaya,                D,  1.79 m,  b. 28 Jun 2001 @ Saint-Louis
Baïla Diallo,                 D,  1.76 m,  b. 24 Jun 2001 @ Toulouse
Loïc Mbe Soh,                 D,  1.87 m,  b. 13 Jun 2001 @ Souza Gare
Anthony Rouault,              D,  1.86 m,  b. 29 May 2001 @ Saint-Colomb-de-Lauzun
Loris Mouyokolo,              D,  1.94 m,  b. 22 May 2001 @ Drancy
Kouadio Koné,                 M,  1.76 m,  b. 17 May 2001 @ Colombes
Maxime Bastian,               D,  1.73 m,  b. 9 May 2001 @ Saverne
Yannick Pandor,               G,  1.92 m,  b. 1 May 2001 @ Marseille
