=================================
=  Japan

Keita Kosugi,                 D,  1.68 m,  b. 18 Mar 2006
Masaaki Higashiguchi,         G,  1.84 m,  b. 12 May 1986 @ Takatsuki
Shinji Okazaki,               F,  1.74 m,  b. 16 Apr 1986 @ Hyogo
Toshihiro Aoyama,             M,  1.73 m,  b. 22 Feb 1986 @ Okayama

Masahiko Inoha,               D,  1.79 m,  b. 28 Aug 1985 @ Miyazaki

Kisho Yano,                   F,  1.85 m,  b. 5 Apr 1984 @ Shizuoka
Makoto Hasebe,                D|M,1.77 m,  b. 18 Jan 1984 @ Shizuoka

Eiji Kawashima,               G,  1.85 m,  b. 20 Mar 1983 @ Saitama
Yasuyuki Konno,               D,  1.78 m,  b. 25 Jan 1983 @ Miyagi

Yoshito Ōkubo,                F,  1.70 m,  b. 9 Jun 1982 @ Fukuoka
Daiki Iwamasa,                D,  1.87 m,  b. 30 Jan 1982 @ Yamaguchi

Yuki Abe,                     M,  1.77 m,  b. 6 Sep 1981 @ Chiba
Yuichi Komano,                D,  1.72 m,  b. 25 Jul 1981 @ Wakayama
Daisuke Matsui,               M,  1.75 m,  b. 11 May 1981 @ Kyoto
Marcus Tulio Tanaka,          D,  1.85 m,  b. 24 Apr 1981 @ São Paulo

Kengo Nakamura,               M,  1.75 m,  b. 31 Oct 1980 @ Tokyo
Keiji Tamada,                 F,  1.73 m,  b. 11 Apr 1980 @ Chiba
Yasuhito Endo,                M,  1.78 m,  b. 28 Jan 1980 @ Kagoshima

Junichi Inamoto,              M,  1.81 m,  b. 18 Sep 1979 @ Yūsui

Shunsuke Nakamura,            M,  1.78 m,  b. 24 Jun 1978 @ Yokohama
Yuji Nakazawa,                D,  1.87 m,  b. 25 Feb 1978 @ Saitama

Seigo Narazaki,               G,  1.87 m,  b. 15 Apr 1976 @ Nara

Yoshikatsu Kawaguchi,         G,  1.80 m,  b. 15 Aug 1975 @ Shizuoka
