=================================
=  Poland

Łukasz Bejger,                D,  1.90 m,  b. 11 Jan 2002 @ Golub-Dobrzyń
Filip Marchwiński,            M,  1.85 m,  b. 10 Jan 2002 @ Poznań

Bartłomiej Jelonek,           G,  1.86 m,  b. 22 Dec 2001 @ Bytom
Patryk Szwedzik,              F,  1.85 m,  b. 2 Dec 2001 @ Legnica
Mateusz Żukowski,             D,  1.85 m,  b. 23 Nov 2001 @ Lębork
Rafał Adamski,                F,  1.90 m,  b. 21 Nov 2001 @ Dzierżoniów
Bartosz Białek,               F,  1.91 m,  b. 11 Nov 2001 @ Brzeg
Piotr Samiec-Talar,           M,  1.85 m,  b. 2 Nov 2001 @ Świdnica
Cezary Miszta,                G,  1.92 m,  b. 30 Oct 2001 @ Łuków
Dominik Frelek,               M,  1.83 m,  b. 11 Oct 2001 @ Grudziądz
Norbert Wojtuszek,            M,  1.82 m,  b. 5 Oct 2001 @ Krakó
Konrad Matuszewski,           D,  1.82 m,  b. 4 Oct 2001 @ Włoszczowa
Kacper Cichon,                M,  1.80 m,  b. 2 Oct 2001 @ Krosno
Dawid Arndt,                  G,  1.87 m,  b. 22 Sep 2001 @ Tomaszów Mazowiecki
Ernest Terpiłowski,           M,  1.76 m,  b. 14 Sep 2001 @ Brzeg Dolny
Karol Knap,                   M,  1.80 m,  b. 12 Sep 2001 @ Krosno
Maciej Rosołek,               F,  1.83 m,  b. 2 Sep 2001 @ Siedlce
Kacper Łopata,                D,  1.88 m,  b. 27 Aug 2001 @ Kraków
Mieszko Lorenc,               M,  1.89 m,  b. 26 Aug 2001 @ Sieradz
Szymon Czyz,                  M,  1.84 m,  b. 8 Jul 2001 @ Gdynia
Kacper Smoliński,             M,  1.74 m,  b. 2 Jul 2001 @ Police
Jędrzej Grobelny,             G,  1.85 m,  b. 28 Jun 2001 @ Poznań
Marcel Lotka,                 G,  1.90 m,  b. 25 May 2001 @ Duisburg
Maciej Śliwa,                 M,  1.75 m,  b. 22 May 2001 @ Starachowice
Aleksander Paluszek,          D,  1.91 m,  b. 9 Apr 2001 @ Wrocław
Wiktor Pleśnierowicz,         D,  1.84 m,  b. 29 Mar 2001 @ Kalisz
