=================================
=  Germany

Matteo Palma,                 D,  1.94 m,  b. 13 Mar 2008 @ Berlin
Kevin Schade,                 F,  1.83 m,  b. 27 Nov 2001 @ Potsdam
Jan Olschowsky,               G,  1.82 m,  b. 18 Nov 2001 @ Neuss
Noah Weißhaupt,               M,  1.80 m,  b. 20 Sep 2001 @ Rostock
Malick Thiaw,                 D,  1.94 m,  b. 8 Aug 2001 @ Düsseldorf
Jordan Amissah,               G,  1.97 m,  b. 2 Aug 2001 @ Herne
Lasse Rieß,                   G,  1.91 m,  b. 27 Jul 2001 @ Münster
Faride Alidou,                F,  1.86 m,  b. 18 Jul 2001 @ Hamburg
Reda Khadra,                  M,  1.74 m,  b. 4 Jul 2001 @ Berlin
Denis Huseinbašić,            M,  1.84 m,  b. 3 Jul 2001 @ Erbach im Odenwald
Tom Krauß,                    M,  1.82 m,  b. 22 Jun 2001 @ Leipzig
Melvin Ramusović,             M,  1.84 m,  b. 19 Jun 2001 @ Sindelfingen
Florian Schock,               G,  1.99 m,  b. 22 May 2001 @ Ruit
Benedict Hollerbach,          F,  1.81 m,  b. 17 May 2001 @ Starnberg
Moritz Römling,               D,  1.86 m,  b. 30 Apr 2001 @ Witten
Noah Katterbach,              D,  1.80 m,  b. 13 Apr 2001 @ Simmerath
Ole Pohlmann,                 M,  1.83 m,  b. 5 Apr 2001 @ Minden
Angelo Stiller,               M,  1.83 m,  b. 4 Apr 2001 @ Munich
Kevin Bukusu,                 D,  1.88 m,  b. 27 Feb 2001 @ Aachen
Jamie Leweling,               F,  1.84 m,  b. 26 Feb 2001 @ Nuremberg
Tim Köther,                   M,  1.75 m,  b. 22 Feb 2001 @ Aachen
Paul Glatzel,                 F,  - ,      b. 20 Feb 2001 @ Liverpool
Merveille Papela,             M,  1.74 m,  b. 18 Jan 2001 @ Mainz

Josha Vagnoman,               D,  1.86 m,  b. 11 Dec 2000 @ Hamburg
David Mamutović,              F,  1.89 m,  b. 5 Dec 2000
Yann Aurel Bisseck,           D,  1.94 m,  b. 29 Nov 2000 @ Cologne
Luca Philipp,                 G,  1.92 m,  b. 28 Nov 2000 @ Stuttgart
Justin Njinmah,               F,  1.79 m,  b. 15 Nov 2000 @ Hamburg
Kilian Fischer,               D,  1.82 m,  b. 12 Oct 2000 @ Miltenberg
Roberto Massimo,              M,  1.85 m,  b. 12 Oct 2000 @ Accra
Moritz Broschinski,           F,  1.90 m,  b. 23 Sep 2000 @ Finsterwalde
Maximilian Breunig,           F,  1.94 m,  b. 14 Aug 2000 @ Würzburg
Andreas Müller,               M,  1.73 m,  b. 20 Jul 2000 @ Sinsheim
Jessic Ngankam,               M,  1.84 m,  b. 20 Jul 2000 @ Berlin
Jonathan Burkardt,            F,  1.80 m,  b. 11 Jul 2000 @ Darmstadt
Kevin Sessa,                  M,  1.75 m,  b. 6 Jul 2000 @ Stuttgart
Finn Ole Becker,              M,  1.77 m,  b. 8 Jun 2000 @ Elmshorn
Jordan Beyer,                 D,  1.87 m,  b. 19 May 2000 @ Kempen
Tim Siersleben,               D,  1.87 m,  b. 9 Mar 2000 @ Magdeburg
Jean-Manuel Mbom,             M,  1.79 m,  b. 24 Feb 2000 @ Göttingen
Yannik Keitel,                M,  1.84 m,  b. 15 Feb 2000 @ Breisach
David Deger,                  M,  1.79 m,  b. 13 Feb 2000 @ Wertingen
Maximilian Bauer,             D,  1.89 m,  b. 9 Feb 2000 @ Vilshofen
Nico Mantl,                   G,  1.93 m,  b. 6 Feb 2000 @ Munich
Patrick Osterhage,            M,  1.84 m,  b. 1 Feb 2000 @ Marklohe
Christian Früchtl,            G,  1.93 m,  b. 28 Jan 2000 @ Bischofsmais
Nicolas Kühn,                 M,  1.74 m,  b. 1 Jan 2000 @ Wunstorf

Semir Telalović,              F,  1.87 m,  b. 23 Dec 1999 @ Ehingen
Nico Schlotterbeck,           D,  1.91 m,  b. 1 Dec 1999 @ Waiblingen
Lennard Maloney,              M,  1.87 m,  b. 8 Oct 1999 @ Berlin
Marvin Pieringer,             F,  1.91 m,  b. 4 Oct 1999 @ Bad Urach
Felix Agu,                    D,  1.80 m,  b. 27 Sep 1999 @ Osnabrück
Antonios Papadopoulos,        D,  1.86 m,  b. 10 Sep 1999 @ Stuttgart
Luca Kilian,                  D,  1.90 m,  b. 1 Sep 1999 @ Witten
Patric Pfeiffer,              D,  1.96 m,  b. 20 Aug 1999 @ Hamburg
Thomas Keller,                M,  1.86 m,  b. 5 Aug 1999 @ Munich
Fabian Nürnberger,            M,  1.81 m,  b. 28 Jul 1999 @ Hamburg
Linton Maina,                 M,  1.71 m,  b. 23 Jun 1999 @ Berlin
Jan Schöppner,                M,  1.90 m,  b. 12 Jun 1999 @ Homberg
Kai Havertz,                  M,  1.87 m,  b. 11 Jun 1999 @ Aachen
