=================================
=  Switzerland

Nathan García,                F,  1.76 m,  b. 22 Nov 1999 @ Porrentruy
Lindrit Kamberi,              D,  1.83 m,  b. 7 Oct 1999 @ Zürich
Josias Lukembila,             F,  1.81 m,  b. 9 Sep 1999 @ Lausanne
Giovani Bamba,                M,  1.92 m,  b. 2 Jul 1999 @ Fribourg
Bastien Toma,                 M,  1.72 m,  b. 24 Jun 1999 @ Sion
Andi Zeqiri,                  F,  1.81 m,  b. 22 Jun 1999 @ Lausanne
Noah Blasucci,                M,  1.74 m,  b. 19 Jun 1999 @ Aadorf
Stefano Guidotti,             M,  1.85 m,  b. 16 Jun 1999 @ Locarno
Betim Fazliji,                M,  1.86 m,  b. 25 Apr 1999 @ Vranje
Giotto Morandi,               M,  1.80 m,  b. 4 Mar 1999 @ Locarno
Nedim Bajrami,                M,  1.83 m,  b. 28 Feb 1999 @ Zürich
Petar Pušić,                  M,  1.69 m,  b. 25 Jan 1999 @ Schaffhausen
Patrick Sutter,               D,  1.72 m,  b. 18 Jan 1999 @ St. Gallen
Liridon Mulaj,                M,  1.75 m,  b. 4 Jan 1999 @ Biel/Bienne

Anthony Racioppi,             G,  1.86 m,  b. 31 Dec 1998 @ Geneva
Loris Mettler,                M,  1.73 m,  b. 14 Dec 1998 @ Chêne-Bougeries
Jasper van der Werff,         D,  1.88 m,  b. 9 Dec 1998 @ St. Gallen
Allan Arigoni,                D,  1.83 m,  b. 4 Nov 1998 @ Zürich
Jordan Lotomba,               D,  1.77 m,  b. 29 Sep 1998 @ Yverdon-les-Bains
Toni Domgjoni,                M,  1.76 m,  b. 4 Sep 1998 @ Koprivnica
Cameron Puertas,              M,  1.78 m,  b. 18 Aug 1998 @ Lausanne
Fabian Rohner,                M,  1.78 m,  b. 17 Aug 1998 @ Zürich
Kevin Rüegg,                  M,  1.73 m,  b. 5 Aug 1998 @ Uster
Ruben Vargas,                 M,  1.74 m,  b. 5 Aug 1998 @ Adligenswil
Silvan Sidler,                D,  1.85 m,  b. 7 Jul 1998 @ Affoltern am Albis
Cédric Zesiger,               D,  1.91 m,  b. 24 Jun 1998 @ Ins
Néhemie Lusuena,              M,  1.75 m,  b. 29 Apr 1998 @ Yverdon-les-Bains
Philipp Köhn,                 G,  1.91 m,  b. 2 Apr 1998 @ Dinslaken
Miro Muheim,                  D,  1.82 m,  b. 24 Mar 1998 @ Flüelen
Dario Ulrich,                 M,  1.72 m,  b. 12 Mar 1998 @ Schwyz
Dominik Schmid,               D,  1.82 m,  b. 10 Mar 1998 @ Rheinfelden
Eray Cümart,                  D,  1.83 m,  b. 4 Feb 1998 @ Basel
Berkan Kutlu,                 M,  1.83 m,  b. 25 Jan 1998 @ Monthey
Jérémy Guillemenot,           F,  1.82 m,  b. 6 Jan 1998 @ Geneva

Dereck Kutesa,                M,  1.76 m,  b. 6 Dec 1997 @ Geneva
Gregor Kobel,                 G,  1.93 m,  b. 6 Dec 1997 @ Zürich
Boris Babić,                  F,  1.80 m,  b. 10 Nov 1997 @ Walenstadt
Raoul Giger,                  D,  1.80 m,  b. 29 Oct 1997 @ Aarau
Silvan Hefti,                 D,  1.82 m,  b. 25 Oct 1997 @ Rorschach
Roberto Alves,                M,  1.79 m,  b. 8 Jun 1997 @ Wetzikon
Linus Obexer,                 D,  1.75 m,  b. 5 Jun 1997 @ Bern
Tobias Schättin,              D,  1.84 m,  b. 5 Jun 1997 @ Zürich
Neftali Manzambi,             F,  1.79 m,  b. 23 Apr 1997 @ Luanda
Albian Ajeti,                 F,  1.82 m,  b. 26 Feb 1997 @ Basel
Breel Embolo,                 F,  1.84 m,  b. 14 Feb 1997 @ Yaoundé
Djibril Sow,                  M,  1.79 m,  b. 6 Feb 1997 @ Zürich
Mirlind Kryeziu,              D,  1.93 m,  b. 26 Jan 1997 @ Zürich
Noah Loosli,                  D,  1.86 m,  b. 23 Jan 1997 @ Brugg
Remo Arnold,                  M,  1.82 m,  b. 17 Jan 1997 @ Schlierbach
Kevin Spadanuda,              M,  1.77 m,  b. 16 Jan 1997 @ Bülach
Michel Aebischer,             M,  1.82 m,  b. 6 Jan 1997 @ Fribourg

Cedric Itten,                 F,  1.89 m,  b. 27 Dec 1996 @ Basel
Miguel Rodrigues,             D,  1.84 m,  b. 7 Dec 1996 @ Geneva
Anto Grgić,                   M,  1.88 m,  b. 28 Nov 1996 @ Schlieren
Denis Zakaria,                M,  1.91 m,  b. 20 Nov 1996 @ Kinshasa
Stefan Knežević,              D,  1.87 m,  b. 30 Oct 1996 @ Lucerne
Sandro Lauper,                M,  1.85 m,  b. 25 Oct 1996 @ Oberdiessbach
Jan Elvedi,                   D,  1.87 m,  b. 30 Sep 1996 @ Zürich
Nico Elvedi,                  D,  1.88 m,  b. 30 Sep 1996 @ Zürich
Dario Marzino,                G,  1.84 m,  b. 19 Sep 1996 @ Thun
