=================================
=  Senegal

Ousseynou Ba,                 D,  1.92 m,  b. 11 Nov 1995 @ Dakar
Pape Abou Cissé,              D,  1.97 m,  b. 14 Sep 1995 @ Pikine
Alhassane Sylla,              D,  1.77 m,  b. 24 Aug 1995 @ Dakar
Habib Diallo,                 F,  1.85 m,  b. 15 Jun 1995 @ Thiès
Sada Thioub,                  F,  1.79 m,  b. 1 Jun 1995 @ Nanterre
Sekou Gassama,                F,  1.90 m,  b. 6 May 1995 @ Granollers
Ibrahima Wadji,               F,  1.75 m,  b. 5 May 1995 @ Bignona
Moustapha Name,               M,  1.85 m,  b. 5 May 1995 @ Dakar
Mamadou Thiam,                F,  1.82 m,  b. 20 Mar 1995 @ Aubervilliers
Keita Baldé,                  F,  1.84 m,  b. 8 Mar 1995 @ Arbúcies

Babacar Guèye,                F,  1.90 m,  b. 31 Dec 1994 @ Dakar
Elhadji Diaw,                 D,  1.93 m,  b. 31 Dec 1994 @ Dakar
Mbaye Niang,                  F,  1.84 m,  b. 19 Dec 1994 @ Meulan-en-Yvelines
Seny Dieng,                   G,  1.93 m,  b. 23 Nov 1994 @ Zürich
Ibrahima Mbaye,               D,  1.87 m,  b. 19 Nov 1994 @ Guédiawaye
Arial Mendy,                  D,  1.80 m,  b. 7 Nov 1994 @ Ziguinchor
Donatien Gomis,               D,  1.88 m,  b. 7 Nov 1994 @ Dakar
Mamadou Diallo,               F,  1.77 m,  b. 19 Sep 1994 @ Yeumbeul
Birama Ndoye,                 M,  1.80 m,  b. 27 Mar 1994 @ Dakar
Mamadou Sylla,                F,  1.84 m,  b. 20 Mar 1994 @ Granollers
Pathé Ciss,                   M,  1.83 m,  b. 16 Mar 1994 @ Dakar
Khaly Thiam,                  M,  1.86 m,  b. 7 Jan 1994 @ Dakar
Modou Diagne,                 D,  1.88 m,  b. 3 Jan 1994 @ Mbacke
Faustin Senghor,              D,  1.83 m,  b. 2 Jan 1994 @ Ziguinchor

Abdallah Ndour,               D,  1.86 m,  b. 20 Dec 1993 @ Rufisque
Oumar Diakhité,               D,  1.80 m,  b. 9 Dec 1993 @ Dakar
Adama Mbengue,                D,  1.78 m,  b. 1 Dec 1993 @ Rufisque
Cheikhou Dieng,               M|F,1.80 m,  b. 23 Nov 1993 @ Thiès
Wagane Faye,                  D,  1.80 m,  b. 20 Nov 1993
Ousseynou Thioune,            M,  1.80 m,  b. 16 Nov 1993 @ Kolda
Alfred Gomis,                 G,  1.96 m,  b. 5 Sep 1993 @ Ziguinchor
Mory Diaw,                    G,  1.95 m,  b. 22 Jun 1993 @ Poissy
Moussa Konaté,                F,  1.83 m,  b. 3 Apr 1993 @ M'Bour
Jamal Thiaré,                 F,  1.80 m,  b. 31 Mar 1993 @ Kaolack
Khouma Babacar,               F,  1.85 m,  b. 17 Mar 1993 @ Thiès
Youssouf Sabaly,              D,  1.74 m,  b. 5 Mar 1993 @ Chesnay
Dame Diop,                    F,  1.83 m,  b. 15 Feb 1993 @ Louga
Pape Ibnou Ba,                F,  1.74 m,  b. 5 Jan 1993 @ Saint Louis

Famara Diedhiou,              F,  1.89 m,  b. 15 Dec 1992 @ Saint-Louis
Mame Baba Thiam,              F,  1.85 m,  b. 9 Oct 1992 @ Ngiudile
Nampalys Mendy,               M,  1.68 m,  b. 23 Jun 1992 @ La Seyne-sur-Mer
