=================================
=  Austria

Peter Michorl,                M,  1.76 m,  b. 9 May 1995 @ Vienna
Nicolas Wimmer,               D,  1.90 m,  b. 15 Mar 1995
Lukas Gugganig,               D,  1.91 m,  b. 14 Feb 1995 @ Spittal an der Drau
Michael Brandner,             M,  1.75 m,  b. 13 Feb 1995 @ Salzburg

Stefan Haudum,                M,  1.89 m,  b. 27 Nov 1994 @ Eferding
Fabio Strauss,                D,  1.95 m,  b. 6 Aug 1994 @ Salzburg
Domenik Schierl,              G,  1.84 m,  b. 20 Jul 1994
Nikola Doveden,               F,  1.72 m,  b. 6 Jul 1994 @ Tulln an der Donau
Philipp Wiesinger,            D,  1.82 m,  b. 23 May 1994 @ Salzburg
Osarenren Okungbowa,          D,  1.87 m,  b. 13 May 1994 @ Vienna
Michael Gregoritsch,          F,  1.90 m,  b. 18 Apr 1994 @ Graz
Felix Luckeneder,             D,  1.90 m,  b. 21 Mar 1994 @ Linz
Marcel Sabitzer,              M,  1.76 m,  b. 17 Mar 1994 @ Graz
Lukas Jäger,                  M,  1.84 m,  b. 12 Feb 1994 @ Alberschwende
Phillipp Mwene,               D,  1.70 m,  b. 29 Jan 1994 @ Vienna
Roman Kerschbaum,             M,  1.81 m,  b. 19 Jan 1994 @ Neunkirchen

Tobias Knoflach,              G,  1.83 m,  b. 30 Dec 1993 @ Vienna
Christian Gebauer,            M,  1.87 m,  b. 20 Dec 1993 @ Innsbruck
Marvin Potzmann,              D,  1.80 m,  b. 7 Dec 1993 @ Vienna
René Renner,                  D,  1.82 m,  b. 29 Nov 1993 @ Wels
Dominik Frieser,              M,  1.76 m,  b. 9 Sep 1993 @ Graz
Kevin Stöger,                 M,  1.75 m,  b. 27 Aug 1993 @ Steyr
Pius Grabher,                 M,  1.70 m,  b. 11 Aug 1993 @ Lustenau
Maximilian Hofmann,           D,  1.81 m,  b. 7 Aug 1993 @ Vienna
Thomas Goiginger,             M,  1.81 m,  b. 15 Mar 1993 @ Linz

Tobias Kainz,                 M,  1.74 m,  b. 31 Oct 1992 @ Feldbach
Florian Kainz,                M,  1.74 m,  b. 24 Oct 1992 @ Graz
Kristijan Dobras,             M,  1.75 m,  b. 9 Oct 1992 @ Steyr
Stefan Lainer,                D,  1.75 m,  b. 27 Aug 1992 @ Salzburg
Konstantin Kerschbaumer,      M,  1.79 m,  b. 1 Jul 1992 @ Tulln
David Alaba,                  D,  1.75 m,  b. 24 Jun 1992 @ Vienna
Simon Piesinger,              D,  1.92 m,  b. 13 May 1992 @ Linz
Matthias Maak,                D,  1.92 m,  b. 12 May 1992 @ Bruck an der Mur
Karim Onisiwo,                F,  1.88 m,  b. 17 Mar 1992 @ Vienna
Robert Žulj,                  M,  1.89 m,  b. 5 Feb 1992 @ Wels
Thomas Rotter,                D,  1.88 m,  b. 27 Jan 1992
Reinhold Ranftl,              M,  1.79 m,  b. 24 Jan 1992 @ Kapfenstein

Manuel Prietl,                M,  1.87 m,  b. 3 Aug 1991 @ Deutschlandsberg
Thorsten Röcher,              F,  1.81 m,  b. 11 Jun 1991 @ Neunkirchen
Stephan Hierländer,           M,  1.80 m,  b. 3 Feb 1991 @ Villach

Michael Novak,                D,  1.83 m,  b. 30 Dec 1990 @ Sankt Veit an der Glan
Manfred Gollner,              D,  1.84 m,  b. 22 Dec 1990 @ Judenburg
Jan Zwischenbrugger,          M,  1.87 m,  b. 16 Jun 1990 @ Au
Thorsten Schick,              M,  1.80 m,  b. 19 May 1990 @ Graz
Michael Sollbauer,            D,  1.86 m,  b. 15 May 1990 @ Sankt Veit an der Glan
Christopher Wernitznig,       M,  1.79 m,  b. 24 Feb 1990 @ Villach
Thorsten Mahrer,              D,  1.91 m,  b. 22 Jan 1990
Jörg Siebenhandl,             G,  1.83 m,  b. 18 Jan 1990 @ Vienna

Mario Kröpfl,                 M,  1.82 m,  b. 21 Dec 1989 @ Klagenfurt
Stefan Ilsanker,              M,  1.86 m,  b. 18 May 1989 @ Hallein
Guido Burgstaller,            F,  1.87 m,  b. 29 Apr 1989 @ Villach
Marko Arnautović,             F,  1.93 m,  b. 19 Apr 1989 @ Vienna
Jakob Jantscher,              F,  1.78 m,  b. 8 Jan 1989 @ Graz

Mario Leitgeb,                M,  1.83 m,  b. 30 Jun 1988 @ Graz

Pavao Pervan,                 G,  1.94 m,  b. 13 Nov 1987 @ Livno
Andreas Lukse,                G,  1.85 m,  b. 8 Nov 1987 @ Vienna
Marco Knaller,                G,  1.92 m,  b. 26 Mar 1987 @ Villach
Christopher Trimmel,          D,  1.89 m,  b. 24 Feb 1987 @ Oberpullendorf

Andreas Ulmer,                D,  1.75 m,  b. 30 Oct 1985 @ Linz
