=================================
=  Italy

Ahmed Sanogo,                 F,  1.75 m,  b. 9 Oct 2004 @ Milan
Niccolò Pisilli,              M,  1.80 m,  b. 23 Sep 2004 @ Rome
Simone D'Uffizi,              F,  1.75 m,  b. 15 Sep 2004 @ Rome
Luca D'Andrea,                M,  1.73 m,  b. 6 Sep 2004 @ Naples
Flavio Russo,                 F,  1.78 m,  b. 31 Aug 2004 @ Catania
Nicolo Tresoldi,              F,  1.83 m,  b. 20 Aug 2004 @ Cagliari
Andrea Sodero,                M,  - ,      b. 7 Aug 2004 @ Arezzo
Valerio Crespi,               F,  1.87 m,  b. 4 Aug 2004 @ Rome
Giacomo Faticanti,            M,  1.75 m,  b. 31 Jul 2004 @ Rome
Cher Ndour,                   M,  1.90 m,  b. 27 Jul 2004 @ Brescia
Nicolò Uberti,                M,  1.74 m,  b. 25 Jul 2004 @ Brescia
Edoardo Borrelli,             G,  1.79 m,  b. 23 Jul 2004 @ Rome
Luca Marianucci,              D,  - ,      b. 23 Jul 2004 @ Livorno
Tommaso Mancini,              F,  1.90 m,  b. 23 Jul 2004 @ Vicenza
Emiliano Rossi,               D,  1.86 m,  b. 20 Jul 2004
Justin Kumi,                  M,  1.82 m,  b. 16 Jul 2004 @ Castelfranco Veneto
Simone Scaglia,               G,  1.96 m,  b. 12 Jul 2004 @ Turin
Michael Kayode,               D,  1.79 m,  b. 10 Jul 2004 @ Borgomanero
Francesco Cozzoli,            D,  1.80 m,  b. 9 Jul 2004
Elia Tantalocchi,             G,  1.90 m,  b. 30 Jun 2004 @ Civitanova Marche
Tommaso Corazza,              D,  1.74 m,  b. 29 Jun 2004 @ Bologna
Lorenzo Cosimi,               D,  1.77 m,  b. 21 Jun 2004
Amney Moutassime,             F,  1.78 m,  b. 1 Jun 2004
Lorenzo Palmisani,            G,  1.85 m,  b. 1 Jun 2004 @ Alatri
Riccardo Fogliata,            M,  1.83 m,  b. 20 May 2004 @ Brescia
Alessandro Dellavalle,        D,  1.91 m,  b. 11 May 2004 @ Turin
Riccardo Ori,                 M,  - ,      b. 29 Apr 2004
Costantino Favasuli,          M,  1.82 m,  b. 26 Apr 2004 @ Africo Nuovo
Lorenzo Ignacchiti,           M,  - ,      b. 25 Apr 2004 @ Pisa
Riccardo Stivanello,          D,  1.88 m,  b. 24 Apr 2004 @ Dolo
Federico Agazzi,              G,  1.88 m,  b. 18 Apr 2004
Christian Gatti,              M,  1.84 m,  b. 16 Apr 2004 @ Legnano
Gabriele Guarino,             D,  1.93 m,  b. 14 Apr 2004 @ Molfetta
Luca Piras,                   D,  1.77 m,  b. 9 Apr 2004 @ Mappano
Alessandro Viotti,            F,  1.83 m,  b. 30 Mar 2004 @ Catanzaro
Nicola Patanè,                M,  1.94 m,  b. 25 Mar 2004 @ Verona
Alessandro Selvini,           F,  - ,      b. 24 Mar 2004 @ Frosinone
Filippo Missori,              D,  1.82 m,  b. 24 Mar 2004 @ Rome
Andrea Mazza,                 G,  1.90 m,  b. 19 Mar 2004 @ Milan
Antonio Raimondo,             F,  1.84 m,  b. 18 Mar 2004 @ Ravenna
Denis Cazzadori,              F,  1.75 m,  b. 16 Mar 2004
Andrea Bartoccioni,           G,  1.96 m,  b. 14 Mar 2004 @ Milan
Nicola Bagnolini,             G,  1.94 m,  b. 14 Mar 2004 @ Cesena
Stefano Marino,               F,  1.86 m,  b. 12 Mar 2004 @ Pforzheim
Christian Biagetti,           D,  1.94 m,  b. 10 Mar 2004 @ Grosseto
Federico Motti,               D,  1.75 m,  b. 6 Mar 2004 @ Reggio Emilia
Andrea Mazia,                 F,  1.74 m,  b. 29 Feb 2004 @ Bologna
Matteo Ferro,                 F,  1.78 m,  b. 27 Feb 2004 @ Cremona
Francesco Gioielli,           M,  1.76 m,  b. 26 Feb 2004 @ Quarto
Daniel Theiner,               G,  1.88 m,  b. 25 Feb 2004 @ Merano
Giacomo Corona,               F,  1.95 m,  b. 24 Feb 2004 @ Palermo
Samuele Vignato,              F,  1.68 m,  b. 24 Feb 2004 @ Fumane
Carmelo Ferrara,              F,  - ,      b. 23 Feb 2004 @ Messina
Francesco D'Alessio,          M,  1.82 m,  b. 21 Feb 2004 @ Rome
Baldovino Cimino,             D,  1.84 m,  b. 20 Feb 2004 @ Sessa Aurunca
Gabriele Indragoli,           D,  1.88 m,  b. 20 Feb 2004 @ Camaiore
Antonio Memeo,                M,  1.84 m,  b. 19 Feb 2004
Lorenzo Busato,               D,  1.80 m,  b. 9 Feb 2004
Lorenzo Amatucci,             M,  1.77 m,  b. 5 Feb 2004 @ Subbiano
Gabriele Alesi,               F,  1.75 m,  b. 28 Jan 2004 @ Alcamo
Luca Benti,                   F,  1.78 m,  b. 24 Jan 2004
Lapo Nava,                    G,  1.89 m,  b. 22 Jan 2004 @ Milan
Luigi Cherubini,              F,  1.75 m,  b. 15 Jan 2004 @ Tivoli
Jacopo Antolini,              D,  1.73 m,  b. 10 Jan 2004 @ Caldiero
Luca Napolitano,              M,  1.69 m,  b. 10 Jan 2004 @ Rome
Luis Hasa,                    M,  1.72 m,  b. 6 Jan 2004 @ Sora
Lucas Mincarelli-Davin,       D,  1.75 m,  b. 5 Jan 2004 @ Saint-Martin-d'Hères

Diego Coppola,                D,  1.93 m,  b. 28 Dec 2003 @ Bussolengo
Matteo Prati,                 M,  1.85 m,  b. 28 Dec 2003 @ Ravenna
Giorgio Scalvini,             D,  1.94 m,  b. 11 Dec 2003 @ Chiari
Ayoub Afi,                    F,  1.75 m,  b. 17 Nov 2003
Wilfried Gnonto,              F,  1.70 m,  b. 5 Nov 2003 @ Verbania
Antonio Satriano,             F,  1.85 m,  b. 30 Oct 2003 @ Locri
Lorenzo Malagrida,            M,  1.74 m,  b. 24 Oct 2003 @ Pietra Ligure
Elia Maccherini Tonini,       D,  1.90 m,  b. 19 Oct 2003 @ Brescia
Mattia Musatti,               M,  1.81 m,  b. 30 Sep 2003 @ Brescia
Edoardo Piana,                G,  1.97 m,  b. 29 Sep 2003 @ Soave
Niccolò Pietra,               M,  1.89 m,  b. 28 Sep 2003 @ Massa
Marco Nasti,                  F,  1.79 m,  b. 17 Sep 2003 @ Pavia
Giuseppe Ambrosino,           F,  1.87 m,  b. 10 Sep 2003 @ Procida
Mauro Verzeletti,             D,  1.85 m,  b. 9 Sep 2003 @ Brescia
Andrea Franzolini,            M,  1.88 m,  b. 6 Sep 2003 @ Latina
Filippo Distefano,            F,  1.78 m,  b. 28 Aug 2003 @ Camaiore
Fabio Miretti,                M,  1.79 m,  b. 3 Aug 2003 @ Pinerolo
Brayan Boci,                  D,  1.83 m,  b. 24 Jul 2003 @ San Giovanni Valdarno
Claudio Cassano,              F,  1.65 m,  b. 22 Jul 2003 @ Trani
Antonino Viola,               G,  1.90 m,  b. 14 Jul 2003 @ Palermo
Yuri Rocchetti,               D,  1.72 m,  b. 15 Jun 2003 @ Rieti
Alessandro Arioli,            F,  1.84 m,  b. 24 May 2003 @ Anzio
Antonio Pio Iervolino,        M,  1.83 m,  b. 23 May 2003 @ San Gennaro Vesuviano
Lorenzo Lucchesi,             D,  1.90 m,  b. 9 May 2003 @ Florence
Duccio Degli Innocenti,       M,  1.80 m,  b. 28 Apr 2003 @ Montevarchi
Matteo Bruno,                 M,  - ,      b. 27 Apr 2003 @ Rome
Luca Bonadeo,                 G,  1.91 m,  b. 21 Apr 2003 @ Lecco
Lisandru Tramoni,             F,  1.80 m,  b. 18 Apr 2003 @ Ajaccio
Federico Zuccon,              M,  1.88 m,  b. 1 Apr 2003 @ Genoa
Paolo Vismara,                G,  1.87 m,  b. 28 Mar 2003
Samuel Giovane,               M,  1.81 m,  b. 28 Mar 2003 @ Lugo
Nicolò Bertola,               D,  1.92 m,  b. 23 Mar 2003 @ Carrara
Tommaso Baldanzi,             F,  1.70 m,  b. 23 Mar 2003 @ Poggibonsi
Daniele Montevago,            F,  1.84 m,  b. 18 Mar 2003 @ Palermo
Jacopo Fazzini,               M,  1.78 m,  b. 16 Mar 2003 @ Massa
Sebastiano Desplanches,       G,  1.88 m,  b. 11 Mar 2003 @ Novara
Kevin Miranda,                D,  1.88 m,  b. 10 Mar 2003 @ Piedimonte Matese
Alessio Rizza,                D,  1.73 m,  b. 7 Mar 2003 @ Livorno
Leonardo Cerri,               F,  1.98 m,  b. 4 Mar 2003 @ Rome
Pietro Passador,              G,  1.93 m,  b. 26 Feb 2003 @ Pordenone
Andrea Ferraris,              F,  1.73 m,  b. 22 Feb 2003 @ Turin
Mirco Ferrante,               M,  1.84 m,  b. 22 Feb 2003 @ Rome
Andrea Cecchetto,             D,  1.80 m,  b. 13 Feb 2003 @ Vicenza
Filippo Terracciano,          D,  1.81 m,  b. 8 Feb 2003 @ Verona
Alessandro Fontanarosa,       D,  1.84 m,  b. 7 Feb 2003 @ San Gennaro Vesuviano
Filippo Faggi,                M,  1.83 m,  b. 5 Feb 2003
Fabio Abiuso,                 F,  1.89 m,  b. 2 Feb 2003 @ Sassuolo
Davide Veroli,                M,  1.85 m,  b. 29 Jan 2003 @ Ancona
Giovanni Bonfanti,            D,  1.87 m,  b. 17 Jan 2003 @ Milan
Antonio Vergara,              M,  1.82 m,  b. 16 Jan 2003 @ Frattaminore
Flavio Paoletti,              M,  1.82 m,  b. 16 Jan 2003 @ San Benedetto del Tronto
Andrea Oliveri,               M,  1.81 m,  b. 14 Jan 2003 @ Palermo
Giovanni Fabbian,             M,  1.86 m,  b. 14 Jan 2003 @ Camposampiero
Cesare Casadei,               M,  1.86 m,  b. 10 Jan 2003 @ Ravenna
Daniele Ghilardi,             D,  1.89 m,  b. 6 Jan 2003 @ Lucca
Alessandro Pietrelli,         M,  1.92 m,  b. 5 Jan 2003 @ Bologna
Edoardo Pieragnolo,           D,  1.85 m,  b. 3 Jan 2003 @ Padua

Matteo Angeli,                D,  1.85 m,  b. 30 Dec 2002 @ Cuneo
Jacopo De Matteis,            G,  1.85 m,  b. 28 Dec 2002 @ Rome
Ottavio Garau,                F,  1.71 m,  b. 9 Dec 2002 @ Caserta
Nicholas Saggionetto,         M,  1.86 m,  b. 5 Dec 2002 @ Camposampiero
Filippo Rinaldi,              G,  1.88 m,  b. 4 Dec 2002 @ Montecchio Emilia
Destiny Udogie,               D,  1.86 m,  b. 28 Nov 2002 @ Verona
Simone Stampete,              F,  1.80 m,  b. 28 Nov 2002
Giovanni Corradini,           M,  1.82 m,  b. 12 Nov 2002 @ Orvieto
Denis Franchi,                G,  1.89 m,  b. 22 Oct 2002 @ San Vito al Tagliamento
Giovanni Garofani,            G,  1.88 m,  b. 20 Oct 2002 @ Rome
Alessandro Bianco,            M,  1.73 m,  b. 1 Oct 2002 @ Turin
Jacopo Desogus,               F,  1.74 m,  b. 1 Oct 2002 @ Cagliari
Gaetano Oristanio,            F,  1.78 m,  b. 28 Sep 2002 @ Vallo della Lucania
Raffaele Cartano,             D,  1.88 m,  b. 24 Sep 2002 @ Massa
Lorenzo Di Stefano,           F,  1.82 m,  b. 19 Sep 2002 @ Catania
Alessio Buttaro,              D,  1.68 m,  b. 10 Sep 2002 @ Rome
Tommaso Barbieri,             D,  1.81 m,  b. 26 Aug 2002 @ Magenta
Edoardo Sottini,              D,  1.80 m,  b. 18 Aug 2002 @ Brescia
Marco Bertini,                M,  1.85 m,  b. 7 Aug 2002 @ Rome
Tommaso Milanese,             M,  1.72 m,  b. 31 Jul 2002 @ Galatina
Rachid Kouda,                 M,  1.88 m,  b. 25 Jul 2002 @ Cantù
Massimo Zilli,                F,  1.95 m,  b. 17 Jul 2002 @ Udine
Matteo Ruggeri,               D,  1.79 m,  b. 11 Jul 2002 @ San Giovanni Bianco
Christian Acella,             M,  1.60 m,  b. 7 Jul 2002 @ Milan
Andrea Papetti,               D,  1.89 m,  b. 3 Jul 2002 @ Cernusco sul Naviglio
Sebastiano Esposito,          F,  1.86 m,  b. 2 Jul 2002 @ Castellammare di Stabia
Mattia Tordini,               F,  1.71 m,  b. 22 Jun 2002 @ Novara
Gabriele Onesti,              F,  1.86 m,  b. 7 Jun 2002 @ Rieti
Simone Panada,                M,  1.75 m,  b. 2 Jun 2002 @ Brescia
Riccardo Calafiori,           D,  1.83 m,  b. 19 May 2002 @ Rome
Edoardo Bove,                 M,  1.74 m,  b. 16 May 2002 @ Rome
Pietro Boer,                  G,  1.93 m,  b. 12 May 2002 @ Mestre
Cosimo Marco Da Graca,        F,  1.85 m,  b. 1 May 2002 @ Palermo
Michele Besaggio,             M,  1.81 m,  b. 28 Apr 2002 @ Padua
Andrea Giorgini,              D,  1.90 m,  b. 22 Apr 2002 @ Fano
Aljoša Vasić,                 M,  1.88 m,  b. 21 Apr 2002 @ Camposampiero
Giorgio Cittadini,            D,  1.84 m,  b. 18 Apr 2002 @ Gardone Val Trompia
Andrea Astrologo,             M,  1.79 m,  b. 6 Apr 2002 @ Rome
Alessandro Sorrentino,        G,  1.87 m,  b. 3 Apr 2002 @ Guardiagrele
Aldo Florenzi,                M,  1.83 m,  b. 2 Apr 2002 @ Nuoro
Riccardo Ciervo,              M,  1.90 m,  b. 1 Apr 2002 @ Latina
Nicholas Bonfanti,            F,  1.78 m,  b. 28 Mar 2002 @ Seriate
Ivan Saio,                    G,  1.92 m,  b. 16 Mar 2002 @ Voghera
Lorenzo Colombo,              F,  1.83 m,  b. 8 Mar 2002 @ Vimercate
Salvatore Dario La Vardera,   D,  1.84 m,  b. 7 Mar 2002 @ Palermo
Alessandro Marcandalli,       D,  1.90 m,  b. 25 Feb 2002 @ Bergamo
Vittorio Agostinelli,         M,  1.83 m,  b. 21 Feb 2002 @ Monopoli
Lorenzo Pirola,               D,  1.85 m,  b. 20 Feb 2002 @ Carate Brianza
Nikola Sekulov,               M,  1.81 m,  b. 18 Feb 2002 @ Piacenza
Alessandro Sersanti,          M,  1.82 m,  b. 16 Feb 2002 @ Grosseto
Matteo Cancellieri,           F,  1.80 m,  b. 12 Feb 2002 @ Rome
Alessio Furlanetto,           G,  1.91 m,  b. 7 Feb 2002 @ Motta di Livenza
Alessandro Pio Riccio,        D,  1.87 m,  b. 6 Feb 2002 @ Naples
Christian Dalle Mura,         D,  1.85 m,  b. 2 Feb 2002 @ Pietrasanta
Luigi Aquino,                 D,  1.84 m,  b. 1 Feb 2002 @ Pompei
Mattia Viti,                  D,  1.90 m,  b. 24 Jan 2002 @ Borgo San Lorenzo

Simone Giordano,              D,  1.84 m,  b. 21 Dec 2001 @ Genoa
Ilario Monterisi,             D,  1.80 m,  b. 19 Dec 2001 @ Trani
Nicolò Rovella,               M,  1.79 m,  b. 4 Dec 2001 @ Segrate
Emanuele Zuelli,              M,  1.79 m,  b. 22 Nov 2001 @ Merano
Riccardo Zoia,                D,  1.88 m,  b. 12 Nov 2001 @ Carate Brianza
Mattia Compagnon,             F,  1.71 m,  b. 6 Nov 2001 @ Remanzacco
Daniel Maldini,               F,  1.81 m,  b. 11 Oct 2001 @ Milan
Eddie Salcedo,                F,  1.78 m,  b. 1 Oct 2001 @ Genoa
Romeo Giovannini,             F,  1.74 m,  b. 28 Sep 2001 @ Savona
Niccolò Pierozzi,             D,  1.84 m,  b. 12 Sep 2001 @ Florence
Stefano Turati,               G,  1.88 m,  b. 5 Sep 2001 @ Milan
Semuel Pizzignacco,           G,  1.88 m,  b. 1 Sep 2001 @ Monfalcone
Elia Caprile,                 G,  1.91 m,  b. 25 Aug 2001 @ Verona
Samuele Ricci,                M,  1.80 m,  b. 21 Aug 2001 @ Pontedera
Thomas Battistella,           M,  1.83 m,  b. 29 Jul 2001 @ Pordenone
Giuseppe Di Serio,            F,  1.82 m,  b. 20 Jul 2001 @ Trento
Marco Frigerio,               M,  1.71 m,  b. 16 Jul 2001 @ Carate Brianza
Emanuele Pecorino,            F,  1.92 m,  b. 15 Jul 2001 @ Catania
Federico Brancolini,          G,  1.92 m,  b. 14 Jul 2001 @ Modena
Gian Marco Crespi,            G,  1.89 m,  b. 28 Jun 2001 @ Udine
Alessio Brambilla,            M,  1.84 m,  b. 16 Jun 2001 @ Vimercate
Francesco Amatucci,           M,  1.82 m,  b. 15 Jun 2001 @ Montevarchi
Alex Sposito,                 G,  1.93 m,  b. 6 Jun 2001 @ Naples
Filippo Ranocchia,            M,  1.78 m,  b. 14 May 2001 @ Perugia
Mattia Felici,                F,  1.80 m,  b. 17 Apr 2001 @ Rome
Giacomo Olzer,                M,  1.88 m,  b. 14 Apr 2001 @ Rovereto
Gabriele Piccinini,           F,  1.84 m,  b. 6 Apr 2001 @ Scandiano
Marco Ballarini,              M,  1.86 m,  b. 28 Mar 2001 @ Gorizia
Mattia Tonetto,               D,  1.68 m,  b. 26 Mar 2001 @ Lecce
Edoardo Corvi,                G,  1.83 m,  b. 23 Mar 2001 @ Parma
Pietro Pellegri,              F,  1.88 m,  b. 17 Mar 2001 @ Genoa
Luca Belardinelli,            M,  1.85 m,  b. 14 Mar 2001 @ Senigallia
