=================================
=  Italy

Francesco Forte,              F,  1.90 m,  b. 1 May 1993 @ Rome
Vincenzo Grifo,               M,  1.80 m,  b. 7 Apr 1993 @ Pforzheim
Leonardo Spinazzola,          D,  1.86 m,  b. 25 Mar 1993 @ Foligno
Doudou Mangni,                F,  1.80 m,  b. 20 Mar 1993 @ Rome
Matteo Bianchetti,            D,  1.89 m,  b. 17 Mar 1993 @ Como
Alessio Vita,                 M,  1.78 m,  b. 16 Mar 1993 @ Rome
Daniele Casiraghi,            M,  1.77 m,  b. 10 Mar 1993 @ Treviglio
Matteo Solini,                D,  1.86 m,  b. 9 Mar 1993 @ Bussolengo
Andrea Schiavone,             M,  1.76 m,  b. 23 Feb 1993 @ Turin
Nicola Leali,                 G,  1.93 m,  b. 17 Feb 1993 @ Castiglione delle Stiviere
Paolo Faragò,                 M,  1.87 m,  b. 12 Feb 1993 @ Catanzaro
Fabian Tait,                  M,  1.86 m,  b. 10 Feb 1993 @ Bolzano
Andrea Magrassi,              F,  1.93 m,  b. 6 Feb 1993 @ Dolo
Loris Bacchetti,              D,  1.94 m,  b. 6 Feb 1993 @ Guardiagrele
Stefano Sabelli,              D,  1.76 m,  b. 13 Jan 1993 @ Rome
Mattia Maita,                 M,  1.82 m,  b. 2 Jan 1993 @ Messina

Cristian Buonaiuto,           F,  1.79 m,  b. 29 Dec 1992 @ Napoli
Mattia Perin,                 G,  1.88 m,  b. 10 Nov 1992 @ Latina
Marco Verratti,               M,  1.65 m,  b. 5 Nov 1992 @ Pescara
Mario Sampirisi,              D,  1.88 m,  b. 31 Oct 1992 @ Caltagirone
Stephan El Shaarawy,          F,  1.78 m,  b. 27 Oct 1992 @ Savona
Mattia De Sciglio,            D,  1.82 m,  b. 20 Oct 1992 @ Milan
Matteo Grandi,                G,  1.90 m,  b. 12 Oct 1992 @ Faenza
Cristiano Piccini,            D,  1.89 m,  b. 26 Sep 1992 @ Florence
Cristiano Biraghi,            D,  1.83 m,  b. 1 Sep 1992 @ Cernusco sul Naviglio
Bruno Martella,               D,  1.84 m,  b. 14 Aug 1992 @ Atri
Kevin Lasagna,                F,  1.81 m,  b. 10 Aug 1992 @ Suzzara
Davide Adorni,                D,  1.85 m,  b. 9 Aug 1992 @ Parma
Paolo Rozzio,                 D,  1.89 m,  b. 22 Jul 1992 @ Turin
Simone Verdi,                 F,  1.74 m,  b. 12 Jul 1992 @ Broni
Federico Carraro,             M,  1.78 m,  b. 23 Jun 1992 @ Padua
Davide Zappacosta,            D,  1.85 m,  b. 11 Jun 1992 @ Sora
Leonardo Mancuso,             F,  1.82 m,  b. 26 May 1992 @ Milan
Michele Camporese,            D,  1.86 m,  b. 19 May 1992 @ Pisa
Gian Marco Ferrari,           D,  1.89 m,  b. 15 May 1992 @ Parma
Federico Ceccherini,          D,  1.87 m,  b. 11 May 1992 @ Livorno
Marco Sportiello,             G,  1.92 m,  b. 10 May 1992 @ Desio
Luca Strizzolo,               F,  1.88 m,  b. 29 Apr 1992 @ Udine
Simone Branca,                M,  1.79 m,  b. 25 Mar 1992 @ Busto Arsizio
Andrea D'Errico,              M,  1.71 m,  b. 24 Mar 1992 @ Milan
Federico Viviani,             M,  1.80 m,  b. 24 Mar 1992 @ Lecco
Giacomo Beretta,              F,  1.85 m,  b. 14 Mar 1992 @ Varese
Daniele Baselli,              M,  1.82 m,  b. 12 Mar 1992 @ Manerbio
Luca Giudici,                 M,  1.79 m,  b. 10 Mar 1992 @ Erba
Pietro Iemmello,              F,  1.80 m,  b. 6 Mar 1992 @ Catanzaro
Armando Izzo,                 D,  1.83 m,  b. 2 Mar 1992 @ Naples
Mattia Proietti,              M,  1.80 m,  b. 27 Feb 1992 @ Turin
Alessandro De Vitis,          M,  1.84 m,  b. 15 Feb 1992 @ Piacenza
Filippo Scaglia,              D,  1.89 m,  b. 31 Jan 1992 @ Turin
Stefano Pettinari,            F,  1.85 m,  b. 27 Jan 1992 @ Rome
Luca Ghiringhelli,            D,  1.80 m,  b. 23 Jan 1992 @ Pavia
Francesco Bardi,              G,  1.88 m,  b. 18 Jan 1992 @ Livorno
Salvatore Molina,             M,  1.77 m,  b. 1 Jan 1992 @ Garbagnate Milanese

Jorginho,                     M,  1.80 m,  b. 21 Dec 1991 @ Imbituba
Riccardo Saponara,            M,  1.84 m,  b. 21 Dec 1991 @ Forli
Fabrizio Paghera,             M,  1.70 m,  b. 12 Dec 1991 @ Brescia
Jacopo Sala,                  M,  1.81 m,  b. 5 Dec 1991 @ Alzano Lombardo
Luca Tremolada,               M,  1.86 m,  b. 25 Nov 1991 @ Milan
Roberto Inglese,              F,  1.86 m,  b. 12 Nov 1991 @ Lucera
Tommaso Silvestri,            D,  1.85 m,  b. 26 Oct 1991 @ Dolo
Marco Davide Faraoni,         D,  1.80 m,  b. 25 Oct 1991 @ Bracciano
Marco Capuano,                D,  1.86 m,  b. 14 Oct 1991 @ Pescara
Giuseppe Mastinu,             M,  1.75 m,  b. 9 Oct 1991 @ Sassari
Nicola Valente,               F,  1.70 m,  b. 6 Oct 1991 @ Zevio
Nicola Sansone,               F,  1.73 m,  b. 10 Sep 1991 @ Munich
Raffaele Maiello,             M,  1.77 m,  b. 10 Jul 1991 @ Acerra
Diego Falcinelli,             F,  1.85 m,  b. 26 Jun 1991 @ Marsciano
Luigi Sepe,                   G,  1.91 m,  b. 8 May 1991 @ Torre del Greco
Andrea La Mantia,             F,  1.90 m,  b. 6 May 1991 @ Marino
Raffaele Pucino,              D,  1.82 m,  b. 3 May 1991 @ Caserta
Francesco Rossi,              G,  1.93 m,  b. 27 Apr 1991 @ Merate
Luca Scapuzzi,                F,  1.82 m,  b. 15 Apr 1991 @ Milan
Marcello Falzerano,           M,  1.67 m,  b. 12 Apr 1991 @ Pagani
Fabio Borini,                 F,  1.80 m,  b. 29 Mar 1991 @ Bentivoglio
Mattia Destro,                F,  1.82 m,  b. 20 Mar 1991 @ Ascoli Piceno
Alessandro Florenzi,          D,  1.73 m,  b. 11 Mar 1991 @ Rome
Marco Silvestri,              G,  1.91 m,  b. 2 Mar 1991 @ Castelnovo ne' Monti
Nicholas Siega,               M,  1.76 m,  b. 25 Feb 1991 @ Novara
Nicola Bellomo,               M,  1.74 m,  b. 18 Feb 1991 @ Bari
Marco D'Alessandro,           F,  1.73 m,  b. 17 Feb 1991 @ Rome
Alessio Iovine,               D,  1.74 m,  b. 1 Feb 1991 @ Como
Luca Caldirola,               D,  1.89 m,  b. 1 Feb 1991 @ Desio
Raphael Odogwu,               F,  1.88 m,  b. 28 Jan 1991 @ Verona
Alessandro Berardi,           G,  1.85 m,  b. 16 Jan 1991 @ Rome
Andrea Bertolacci,            M,  1.79 m,  b. 11 Jan 1991 @ Rome

Antony Iannarilli,            G,  1.86 m,  b. 18 Dec 1990 @ Alatri
Alfredo Donnarumma,           F,  1.79 m,  b. 30 Nov 1990 @ Torre Annunziata
Federico Furlan,              F,  1.81 m,  b. 25 Nov 1990 @ Montebelluna
Mirko Carretta,               F,  1.78 m,  b. 23 Nov 1990 @ Gallipoli
Rafael Tolói,                 D,  1.85 m,  b. 10 Oct 1990 @ Gloria d'Oeste
Andrea Seculin,               G,  1.90 m,  b. 14 Jul 1990 @ Gorizia
Antonio Caracciolo,           D,  1.81 m,  b. 30 Jun 1990 @ Tempio Pausania
Gaetano Letizia,              D,  1.73 m,  b. 29 Jun 1990 @ Naples
Alessandro Tuia,              D,  1.84 m,  b. 8 Jun 1990 @ Civita Castellana
Andrea Arrighini,             F,  1.80 m,  b. 6 Jun 1990 @ Pisa
Mauro Vigorito,               G,  1.87 m,  b. 22 May 1990 @ Ozieri
Tommaso D'Orazio,             D,  1.86 m,  b. 3 May 1990 @ Guardiagrele
Francesco Di Tacchio,         M,  1.85 m,  b. 20 Apr 1990 @ Trani
Luca Marrone,                 D,  1.86 m,  b. 28 Mar 1990 @ Turin
Carlo Pinsoglio,              G,  1.94 m,  b. 16 Mar 1990 @ Moncalieri
Alessio Curcio,               F,  1.80 m,  b. 12 Mar 1990 @ Benevento
Pietro Terracciano,           G,  1.93 m,  b. 8 Mar 1990 @ San Felice a Cancello
Ciro Immobile,                F,  1.85 m,  b. 20 Feb 1990 @ Torre Annunziata
Simone Romagnoli,             D,  1.93 m,  b. 9 Feb 1990 @ Cremona
Giulio Donati,                D,  1.79 m,  b. 5 Feb 1990 @ Pietrasanta
Alessio Luciani,              D,  1.76 m,  b. 16 Jan 1990 @ Rieti
Vincenzo Fiorillo,            G,  1.90 m,  b. 13 Jan 1990 @ Genoa

Michele Castagnetti,          M,  1.80 m,  b. 27 Dec 1989 @ Montecchio Emilia
Matteo Darmian,               D,  1.82 m,  b. 2 Dec 1989 @ Legnano
Ivan Marconi,                 D,  1.83 m,  b. 25 Oct 1989 @ Brescia
Nicolas Viola,                M,  1.80 m,  b. 12 Oct 1989 @ Oppido Mamertina
Francesco Bombagi,            M,  1.78 m,  b. 8 Sep 1989 @ Sassari
Simone Guerra,                F,  1.78 m,  b. 30 Aug 1989 @ Piacenza
Giacomo Bonaventura,          M,  1.80 m,  b. 22 Aug 1989 @ San Severino Marche
Giuseppe Bellusci,            D,  1.85 m,  b. 21 Aug 1989 @ Trebisacce
Luca Ceppitelli,              D,  1.86 m,  b. 11 Aug 1989 @ Castiglione del Lago
Eugenio Lamanna,              G,  1.86 m,  b. 7 Aug 1989 @ Como
Nicolò Brighenti,             D,  1.78 m,  b. 1 Aug 1989 @ Bussolengo
Mirko Eramo,                  M,  1.84 m,  b. 12 Jul 1989 @ Acquaviva delle Fonti
Pasquale Fazio,               D,  1.80 m,  b. 10 Jun 1989 @ Messina
Luca Liverani,                G,  1.83 m,  b. 2 Jun 1989 @ Ravenna
Marco Modolo,                 D,  1.86 m,  b. 23 Mar 1989 @ San Donà di Piave
Umberto Eusepi,               F,  1.82 m,  b. 8 Jan 1989 @ Rome

Nicola Ravaglia,              G,  1.84 m,  b. 12 Dec 1988 @ Forlì
Leonardo Pavoletti,           F,  1.88 m,  b. 26 Nov 1988 @ Livorno
Massimo Coda,                 F,  1.84 m,  b. 10 Nov 1988 @ Cava dei Tirreni
Andrea Rispoli,               D,  1.88 m,  b. 29 Sep 1988 @ Cava de' Tirreni
Danilo D'Ambrosio,            D,  1.82 m,  b. 9 Sep 1988 @ Naples
Marco Mancosu,                M,  1.80 m,  b. 22 Aug 1988 @ Cagliari
Alessandro Salvi,             D,  1.81 m,  b. 5 Jun 1988 @ Bergamo
Angelo Ogbonna,               D,  1.91 m,  b. 23 May 1988 @ Cassino
Lorenzo De Silvestri,         D,  1.86 m,  b. 23 May 1988 @ Rome
Antonio Pergreffi,            D,  1.89 m,  b. 6 May 1988 @ Bergamo
Adriano Montalto,             F,  1.86 m,  b. 6 Apr 1988 @ Erice
Vito Mannone,                 G,  1.88 m,  b. 2 Mar 1988 @ Desio
Giacomo Poluzzi,              G,  1.86 m,  b. 25 Feb 1988 @ Bologna
Francesco Acerbi,             D,  1.92 m,  b. 10 Feb 1988 @ Vizzolo Predabissi

Marco Sau,                    F,  1.69 m,  b. 3 Nov 1987 @ Sorgono
Fabio Lucioni,                D,  1.85 m,  b. 25 Sep 1987 @ Terni
Francesco Caputo,             F,  1.81 m,  b. 6 Aug 1987 @ Altamura
Federico Dionisi,             F,  1.80 m,  b. 16 Jun 1987 @ Rieti
Leonardo Bonucci,             D,  1.90 m,  b. 1 May 1987 @ Viterbo
Antonio Candreva,             F,  1.80 m,  b. 28 Feb 1987 @ Rome
Andrea Consigli,              G,  1.89 m,  b. 27 Jan 1987 @ Milan
Salvatore Sirigu,             G,  1.92 m,  b. 12 Jan 1987 @ Nuoro

Luca Cigarini,                M,  1.75 m,  b. 20 Jun 1986 @ Montecchio Emilia
Simone Aresti,                G,  1.88 m,  b. 15 Mar 1986 @ Carbonia
Andrea Masiello,              D,  1.84 m,  b. 5 Feb 1986 @ Viareggio

Emiliano Viviano,             G,  1.95 m,  b. 1 Dec 1985 @ Fiesole
Pierluigi Frattali,           G,  1.85 m,  b. 1 Dec 1985 @ Rome
Daniele Padelli,              G,  1.91 m,  b. 25 Oct 1985 @ Lecco
Franco Lepore,                D,  1.78 m,  b. 16 Aug 1985 @ Lecce
Daniel Ciofani,               F,  1.90 m,  b. 31 Jul 1985 @ Avezzano

Gaetano Masucci,              F,  1.72 m,  b. 26 Oct 1984 @ Avellino

Antonio Mirante,              G,  1.93 m,  b. 8 Jul 1983 @ Castellammare di Stabia
Valerio Di Cesare,            D,  1.87 m,  b. 23 May 1983 @ Rome

Gianluca Pegolo,              G,  1.83 m,  b. 25 Mar 1981 @ Bassano del Grappa

Alessandro Berretta,          M,  - ,      -
Andrea Caucci,                D,  1.90 m,  -
Antonio Barone,               D,  1.78 m,  -
Matteo Piombino,              G,  - ,      -
Paolo Rizzo,                  D,  - ,      -
Vincenzo Colangiuli,          M,  - ,      -
Vincenzo Grimaldi,            G,  1.80 m,  -
