=================================
=  Northern Ireland

William Murdock,              G,  - ,      b. 26 May 2007
David Morgan,                 M,  1.73 m,  b. 4 Jul 1994 @ Belfast
Luke McCullough,              D,  1.89 m,  b. 15 Feb 1994 @ Portadown

George Saville,               M,  1.76 m,  b. 1 Jun 1993 @ Camberley
Carl Winchester,              M,  1.78 m,  b. 12 Apr 1993 @ Belfast
Kyle Vassell,                 F,  1.83 m,  b. 7 Feb 1993 @ Milton Keynes

Adam Thompson,                D,  1.85 m,  b. 28 Sep 1992 @ Harlow
Conor Washington,             F,  1.78 m,  b. 18 May 1992 @ Chatham
Rory Donnelly,                F,  1.88 m,  b. 18 Feb 1992 @ Belfast
Barry McNamee,                M,  1.81 m,  b. 17 Feb 1992 @ Derry

Ben Reeves,                   M,  1.78 m,  b. 19 Nov 1991 @ Verwood
Tom Flanagan,                 D,  1.88 m,  b. 21 Oct 1991 @ Hammersmith
Stephen Dooley,               M,  1.80 m,  b. 19 Oct 1991 @ Portstewart
Lee Hodson,                   D,  1.80 m,  b. 2 Oct 1991 @ Watford
Conor McLaughlin,             D,  1.83 m,  b. 26 Jul 1991 @ Belfast
Shane Ferguson,               D|M,1.80 m,  b. 12 Jul 1991 @ Derry
Will Grigg,                   F,  1.80 m,  b. 3 Jul 1991 @ Solihull
Stuart Dallas,                D|M,1.83 m,  b. 19 Apr 1991 @ Cookstown
Oliver Norwood,               M,  1.80 m,  b. 12 Apr 1991 @ Burnley
Liam Boyce,                   F,  1.84 m,  b. 8 Apr 1991 @ Belfast

Joe Dudgeon,                  D,  1.73 m,  b. 26 Nov 1990 @ Leeds
Matthew Lund,                 M,  1.70 m,  b. 21 Nov 1990 @ Manchester
Josh Magennis,                F,  1.88 m,  b. 15 Aug 1990 @ Bangor
Corry Evans,                  M,  1.73 m,  b. 30 Jul 1990 @ Belfast

Danny Lafferty,               D,  1.82 m,  b. 1 Apr 1989 @ Derry
Craig Cathcart,               D,  1.90 m,  b. 6 Feb 1989 @ Belfast

Billy McKay,                  F,  1.75 m,  b. 22 Oct 1988 @ Corby
Michael Smith,                D,  1.80 m,  b. 4 Sep 1988 @ Ballyclare
Trevor Carson,                G,  1.83 m,  b. 5 Mar 1988 @ Downpatrick
Jonny Evans,                  D,  1.88 m,  b. 2 Jan 1988 @ Belfast

Kyle Lafferty,                F,  1.93 m,  b. 16 Sep 1987 @ Enniskillen
Niall McGinn,                 M,  1.83 m,  b. 20 Jul 1987 @ Dungannon

Jamie Ward,                   F,  1.65 m,  b. 12 May 1986 @ Birmingham

Steven Davis,                 M,  1.73 m,  b. 1 Jan 1985 @ Ballymena

Chris Brunt,                  M,  1.87 m,  b. 14 Dec 1984 @ Belfast
Alex Bruce,                   D,  1.80 m,  b. 28 Sep 1984 @ Norwich
Lee Camp,                     G,  1.83 m,  b. 22 Aug 1984 @ Derby
Michael McGovern,             G,  1.91 m,  b. 12 Jul 1984 @ Enniskillen
Mark McChrystal,              D,  1.85 m,  b. 26 Jun 1984 @ Derry

Alan Mannus,                  G,  1.88 m,  b. 19 May 1982 @ Toronto
Chris Baird,                  D,  1.79 m,  b. 25 Feb 1982 @ Ballymena

Gareth McAuley,               D,  1.95 m,  b. 5 Dec 1979 @ Larne
Aaron Hughes,                 D,  1.83 m,  b. 8 Nov 1979 @ Magherafelt

Michael Duff,                 D,  1.85 m,  b. 11 Jan 1978 @ Belfast

Roy Carroll,                  G,  1.88 m,  b. 30 Sep 1977 @ Enniskillen
