=================================
=  Albania

Flavio Sulejmani,             F,  - ,      b. 20 Mar 2006
Etrit Berisha,                G,  1.94 m,  b. 10 Mar 1989 @ Priština

Shkelzen Gashi,               M,  1.82 m,  b. 15 Jul 1988 @ Zürich

Alban Hoxha,                  G,  1.88 m,  b. 23 Nov 1987 @ Cërrik
Migjen Basha,                 M,  1.80 m,  b. 5 Jan 1987 @ Lausanne

Ledian Memushaj,              M,  1.75 m,  b. 7 Dec 1986 @ Vlorë
Mërgim Mavraj,                D,  1.89 m,  b. 9 Jun 1986 @ Hanau
Alban Meha,                   M,  1.73 m,  b. 26 Apr 1986 @ Kosovska Mitrovica
Andi Lila,                    D,  1.84 m,  b. 12 Feb 1986 @ Kavajë

Burim Kukeli,                 M,  1.80 m,  b. 16 Jan 1984 @ Gjakova

Lorik Cana,                   D,  1.86 m,  b. 27 Jul 1983 @ Gjakova

Ansi Agolli,                  D,  1.80 m,  b. 11 Oct 1982 @ Tirana

Orges Shehi,                  G,  1.82 m,  b. 20 Sep 1977 @ Durrës
