=================================
=  Belgium

Thierry Lutonda,              D,  1.67 m,  b. 27 Oct 2000 @ Liège
Maxim De Cuyper,              D,  1.83 m,  b. 22 Oct 2000 @ Knokke-Heist
Ewoud Pletinckx,              D,  1.90 m,  b. 10 Oct 2000
Toon Raemaekers,              D,  1.94 m,  b. 9 Sep 2000
Yentl Van Genechten,          D,  1.91 m,  b. 18 Aug 2000 @ Heist-op-den-Berg
Adriano Bertaccini,           F,  1.73 m,  b. 13 Aug 2000 @ Charleroi
Shawn Adewoye,                D,  1.81 m,  b. 29 Jun 2000 @ Leopoldsburg
Cyril Ngonge,                 F,  1.79 m,  b. 26 May 2000 @ Uccle
Arthur Theate,                D,  1.91 m,  b. 25 May 2000 @ Liège
Brian De Keersmaecker,        M,  1.82 m,  b. 6 May 2000 @ Bornem
Théo Leoni,                   M,  - ,      b. 21 Apr 2000
Boris Lambert,                D,  1.87 m,  b. 10 Apr 2000 @ Han-sur-Lesse
Olivier Deman,                M,  1.81 m,  b. 6 Apr 2000 @ Antwerp
Corentin Michel,              G,  1.86 m,  b. 20 Mar 2000 @ Ottignies-Louvain-la-Neuve
Othmane Boussaid,             F,  1.66 m,  b. 7 Mar 2000 @ Kortrijk
Loïs Openda,                  F,  1.74 m,  b. 16 Feb 2000 @ Liège
Siemen Voet,                  D,  1.94 m,  b. 3 Feb 2000 @ Gent

Noah Fadiga,                  D,  1.80 m,  b. 3 Dec 1999 @ Bruges
Albert Sambi Lokonga,         M,  1.80 m,  b. 22 Oct 1999 @ Verviers
Maxime Busi,                  D,  1.82 m,  b. 14 Oct 1999 @ Liège
Gary Magnée,                  M,  1.75 m,  b. 12 Oct 1999 @ Soumagne
Mile Svilar,                  G,  1.89 m,  b. 27 Aug 1999 @ Antwerp
Francis Amuzu,                M,  1.70 m,  b. 23 Aug 1999 @ Accra
Zinho Vanheusden,             D,  1.87 m,  b. 29 Jul 1999 @ Hasselt
Alexis Saelemaekers,          M,  1.80 m,  b. 27 Jun 1999 @ Berchem-Sainte-Agathe
Daan Heymans,                 M,  1.86 m,  b. 15 Jun 1999 @ Retie
Jelle Bataille,               D,  1.75 m,  b. 20 May 1999 @ Tournai
William Balikwisha,           M,  1.74 m,  b. 12 May 1999 @ Brussels
Denzel Jubitana,              M,  1.73 m,  b. 6 May 1999
Jérôme Déom,                  M,  1.75 m,  b. 19 Apr 1999 @ Libramont-Chevigny
Milan Corryn,                 M,  1.80 m,  b. 4 Apr 1999 @ Aalst
