=================================
=  Portugal

Rodrigo Conceição,            D,  1.75 m,  b. 2 Jan 2000 @ Lisbon
Breno,                        D,  1.79 m,  b. 1 Jan 2000 @ Paredes

Trincão,                      F,  1.83 m,  b. 29 Dec 1999 @ Viana do Castelo
Tiago Manso,                  D,  1.74 m,  b. 13 Dec 1999 @ Lisbon
Domingos Quina,               M,  1.79 m,  b. 18 Nov 1999 @ Bissau
João Félix,                   F,  1.80 m,  b. 10 Nov 1999 @ Viseu
Rui Mendes,                   F,  1.80 m,  b. 10 Nov 1999 @ Gondar
Tomás Silva,                  D|M,1.72 m,  b. 15 Oct 1999 @ Viana do Castelo
Pedro Martelo,                F,  1.90 m,  b. 12 Oct 1999 @ Évora
Aldair Neves,                 D,  1.80 m,  b. 11 Oct 1999 @ Torres Vedras
João Virgínia,                G,  1.90 m,  b. 10 Oct 1999 @ Faro
Rui Modesto,                  M,  1.80 m,  b. 7 Oct 1999 @ Vendas Novas
Elves Baldé,                  F,  1.69 m,  b. 2 Oct 1999 @ Bissau
Paulinho,                     F,  1.86 m,  b. 21 Sep 1999 @ Braga
Filipe Relvas,                D,  1.92 m,  b. 20 Sep 1999 @ Espinho
Diego Costa,                  G,  1.87 m,  b. 19 Sep 1999 @ Rothrist
Kiko Vilas Boas,              D,  1.77 m,  b. 8 Sep 1999
Venâncio Da Silva,            M,  - ,      b. 5 Sep 1999 @ Lisbon
Diogo Rodrigues,              D,  1.83 m,  b. 23 Aug 1999 @ Vendas Novas
Florentino Luis,              M,  1.84 m,  b. 19 Aug 1999 @ Lisbon
Joël Monteiro,                F,  1.91 m,  b. 5 Aug 1999 @ Sion
Jota Silva,                   F,  1.79 m,  b. 1 Aug 1999 @ Gondomar
Pedro Mendes,                 F,  1.86 m,  b. 1 Aug 1999 @ Guimarães
Bruno Reis,                   M,  1.76 m,  b. 20 Jul 1999 @ Portimão
David Carmo,                  D,  1.96 m,  b. 19 Jul 1999 @ Aveiro
Diogo Pinto,                  M,  1.75 m,  b. 29 Jun 1999 @ Tomar
Nuno Moreira,                 F,  1.75 m,  b. 16 Jun 1999 @ Espinho
Rafael Leão,                  F,  1.88 m,  b. 10 Jun 1999 @ Almada
Samir Banjal,                 D,  1.87 m,  b. 31 May 1999
Daniel Bragança,              M,  1.69 m,  b. 27 May 1999 @ Almeirim
Filipe Soares,                M,  1.80 m,  b. 20 May 1999 @ Lisbon
Causso Darame,                M,  - ,      b. 18 May 1999
Ricardo Silva,                G,  1.89 m,  b. 9 May 1999 @ Mafamude
Tomás Ribeiro,                D,  1.85 m,  b. 30 Apr 1999 @ Lisbon
Matis Carvalho,               G,  1.86 m,  b. 28 Apr 1999 @ Nantes
João Caiado,                  M,  1.78 m,  b. 20 Apr 1999 @ Viseu
João Lameira,                 M,  1.78 m,  b. 19 Apr 1999 @ Santa Maria da Feira
Maga,                         D,  1.75 m,  b. 19 Apr 1999 @ Penafiel
Francisco Moura,              D,  1.82 m,  b. 16 Apr 1999 @ Braga
Miguel Reisinho,              M,  1.85 m,  b. 9 Apr 1999 @ Vila Meã
Rúben Vinagre,                D,  1.74 m,  b. 9 Apr 1999 @ Charneca de Caparica
José Gomes,                   F,  1.78 m,  b. 8 Apr 1999 @ Bissau
Nuno Henrique Pina Nunes,     M,  1.84 m,  b. 31 Mar 1999 @ Lisbon
Federico Duarte,              M,  1.75 m,  b. 30 Mar 1999 @ Lisbon
Jota,                         F,  1.75 m,  b. 30 Mar 1999 @ Lisbon
Ismael,                       M,  1.84 m,  b. 25 Mar 1999 @ Estarreja
David Tavares,                M,  1.81 m,  b. 18 Mar 1999 @ Lisbon
Diogo Dalot,                  D,  1.84 m,  b. 18 Mar 1999 @ Braga
Mésaque Djú,                  F,  1.78 m,  b. 18 Mar 1999 @ Bissau
Tomás Castro,                 M,  1.81 m,  b. 13 Mar 1999 @ Lisbon
Thierry Correia,              D,  1.79 m,  b. 9 Mar 1999 @ Amadora
Alexandre Pimenta,            F,  1.84 m,  b. 2 Mar 1999 @ Coimbra
Nuno Santos,                  M,  1.77 m,  b. 2 Mar 1999 @ Porto
Miguel Luís,                  M,  1.70 m,  b. 27 Feb 1999 @ Coimbra
Boubacar Hanne,               F,  1.75 m,  b. 26 Feb 1999 @ Paços de Ferreira
Paulo Estrela,                M,  1.71 m,  b. 20 Feb 1999 @ Paços de Ferreira
Luis Silva,                   D,  1.84 m,  b. 18 Feb 1999 @ Oeiras
Jorge Silva,                  D,  1.84 m,  b. 4 Feb 1999 @ Porto
Diogo Leite,                  D,  1.88 m,  b. 23 Jan 1999 @ Porto
Álvaro Ramaho,                G,  1.88 m,  b. 20 Jan 1999 @ Lisbon
Álvaro Ramalho,               G,  1.88 m,  b. 20 Jan 1999 @ Lisbon
Toti Gomes,                   D,  1.87 m,  b. 16 Jan 1999 @ Bissau
João Silva,                   D,  1.87 m,  b. 14 Jan 1999 @ Braga
Gedson Fernandes,             M,  1.81 m,  b. 9 Jan 1999 @ São Tomé
Edi Semedo,                   F,  1.81 m,  b. 6 Jan 1999 @ Damaia
Diogo Queirós,                D,  1.85 m,  b. 5 Jan 1999 @ Matosinhos
Euclides Cabral,              D,  1.78 m,  b. 5 Jan 1999 @ Lisbon
Luís Maximiano,               G,  1.90 m,  b. 5 Jan 1999 @ Celeirós

Rúben Gonçalves,              M,  1.80 m,  b. 23 Dec 1998 @ Valongo
Francisco Cardoso,            F,  1.70 m,  b. 19 Dec 1998 @ Gondomar
Pedro Amador,                 D,  1.81 m,  b. 18 Dec 1998 @ Loures
Leo Da Silva Lopes,           M,  1.68 m,  b. 30 Nov 1998 @ Lisbon
Madi Queta,                   F,  1.80 m,  b. 21 Oct 1998 @ Bissau
Bruno Jordão,                 M,  1.80 m,  b. 12 Oct 1998 @ Marinha Grande
Diogo Calila,                 D,  1.80 m,  b. 10 Oct 1998 @ Seixal
Didi,                         F,  1.84 m,  b. 24 Sep 1998 @ Aveiro
Miguel Sousa,                 D,  1.76 m,  b. 19 Sep 1998 @ Lisbon
Kikas,                        F,  1.77 m,  b. 17 Sep 1998 @ Castelo Branco
Diogo Sousa,                  G,  1.95 m,  b. 16 Sep 1998 @ Albufeira
Rodrigo Martins,              F,  1.77 m,  b. 15 Sep 1998 @ Faro
João Pais,                    F,  1.67 m,  b. 13 Sep 1998 @ Coimbra
Matheus Nunes,                M,  1.83 m,  b. 27 Aug 1998 @ Rio de Janeiro
Ricardo Velho,                G,  1.88 m,  b. 20 Aug 1998 @ Vila Nova de Famalicão
André Vidigal,                F,  1.76 m,  b. 17 Aug 1998 @ Elvas
Ricardinho,                   M,  1.78 m,  b. 6 Aug 1998 @ Porto
Zé Carlos,                    D,  1.77 m,  b. 31 Jul 1998 @ Porto
Dani Figueira,                G,  1.89 m,  b. 20 Jul 1998 @ Vizela
Tomás Reymão,                 M,  1.90 m,  b. 14 Jul 1998 @ Lisbon
Alex Pinto,                   D,  1.87 m,  b. 8 Jul 1998 @ Guimarães
Pedro Gonçalves,              M,  1.73 m,  b. 28 Jun 1998 @ Vidago
Martim Maia,                  M,  1.75 m,  b. 24 May 1998 @ Maia
Tiago Dias,                   D,  1.75 m,  b. 4 May 1998 @ Lisbon
Dany Mota,                    F,  1.80 m,  b. 2 May 1998 @ Niederkorn
Batxi,                        F,  1.74 m,  b. 1 May 1998 @ Sintra
Francisco Teixeira,           M,  1.77 m,  b. 26 Apr 1998 @ São Sebastião da Pedreira
Pedro Marques,                D|F,1.81 m,  b. 25 Apr 1998 @ Lisbon
Bruno Paz,                    M,  1.83 m,  b. 23 Apr 1998 @ Barreiro
João Queirós,                 D,  1.90 m,  b. 22 Apr 1998 @ Viana do Castelo
André Franco,                 M,  1.77 m,  b. 12 Apr 1998 @ Lisbon
Luís Esteves,                 M,  1.69 m,  b. 9 Apr 1998 @ Ovar
Rui Encarnação,               G,  1.85 m,  b. 5 Apr 1998 @ Funchal
Abdu Conté,                   D,  1.83 m,  b. 24 Mar 1998 @ Bissau
