=================================
=  Norway

Eirik Espelid Blikstad,       D,  1.83 m,  b. 16 May 2004 @ Oslo
Jakob Napoleon Romsaas,       M,  1.87 m,  b. 16 May 2004 @ Oslo
Iver Hagen,                   D,  - ,      b. 8 May 2004
Jakob Auby,                   M,  - ,      b. 5 May 2004
Magnus Rugland Ree,           G,  - ,      b. 26 Apr 2004
Heine Bruseth,                M,  1.77 m,  b. 6 Apr 2004
Johan Bakke,                  M,  1.86 m,  b. 1 Apr 2004 @ Sogndal
Niklas Ødegård,               M,  1.89 m,  b. 29 Mar 2004 @ Molde
Jesper Robertsen,             D,  1.75 m,  b. 23 Mar 2004 @ Tromsø
Isak Hjorteseth,              M,  - ,      b. 14 Mar 2004
Morten Spencer,               M,  - ,      b. 14 Mar 2004 @ Darlington
Filip Kristoffersen,          D,  - ,      b. 9 Mar 2004
Storm Strand-Kolbjørnsen,     G,  1.92 m,  b. 5 Mar 2004
Elias Solberg,                F,  - ,      b. 3 Mar 2004
Dennis Gjengaar,              D,  1.77 m,  b. 24 Feb 2004 @ Horten
Leo Kyvik,                    D,  1.88 m,  b. 21 Feb 2004
Yves Vaage,                   D,  1.87 m,  b. 20 Feb 2004
Oskar Sivertsen,              F,  - ,      b. 15 Feb 2004
Olav Lilleøren Veum,          D|M,- ,      b. 14 Feb 2004
Arne Ødegård,                 M,  1.81 m,  b. 4 Feb 2004 @ Lillehammer
Philip Schie,                 F,  - ,      b. 1 Feb 2004
Kristoffer Paulsen,           D,  1.93 m,  b. 31 Jan 2004 @ Stavanger
Kristoffer Voldhagen,         D,  - ,      b. 29 Jan 2004
Markus Olsvik Welinder,       M,  - ,      b. 28 Jan 2004
Markus Welinder,              D,  1.85 m,  b. 28 Jan 2004
David Tufekcic,               M,  - ,      b. 22 Jan 2004
Syver Aas,                    M|F,1.81 m,  b. 15 Jan 2004 @ Skien
Marius Trengereid,            M,  - ,      b. 13 Jan 2004
Viktor Gustavsen Engh,        G,  - ,      b. 11 Jan 2004
Dylan Murugesapillai,         M,  1.75 m,  b. 7 Jan 2004 @ Oslo

Brynjar Johnsplass,           D,  - ,      b. 30 Dec 2003
Mathias Fjörtoft Lövik,       D,  1.83 m,  b. 6 Dec 2003 @ Molde
Eivind Helgeland,             D,  - ,      b. 1 Dec 2003
Sondre Ørjasæter,             M,  1.80 m,  b. 28 Nov 2003 @ Oslo
Elias Aarflot,                M,  - ,      b. 25 Nov 2003
Mathias Tønnessen,            D,  1.89 m,  b. 22 Nov 2003 @ Oslo
Leander Øy,                   G,  - ,      b. 24 Oct 2003
Petter Dahl,                  F,  1.80 m,  b. 22 Oct 2003 @ Oslo
Daniel Skare,                 M,  - ,      b. 30 Sep 2003
Samuel Skjeldal,              D,  1.83 m,  b. 16 Sep 2003 @ Skien
Kristian Arnstad,             M,  1.71 m,  b. 7 Sep 2003 @ Oslo
Peder Meen Johansen,          M,  - ,      b. 27 Aug 2003
Leo Hjelde,                   D,  1.88 m,  b. 26 Aug 2003 @ Nottingham
Petter Eichler Jensen,        G,  - ,      b. 18 Aug 2003 @ Gjøvik
Fredrik Sjøvold,              M,  - ,      b. 17 Aug 2003
