=================================
=  Spain

Ángel Ortiz,                  M,  - ,      b. 25 Jul 2004 @ Almendralejo
Alejandro Primo,              G,  - ,      b. 10 Jul 2004
Jan Oliveras,                 D,  1.72 m,  b. 7 Jul 2004 @ Manresa
Brian Mahugo,                 G,  - ,      b. 3 Jul 2004
Diego Espinosa,               D,  - ,      b. 2 Jul 2004
Adrián Niño,                  F,  1.75 m,  b. 19 Jun 2004 @ Rota
Marcos Navarro,               D,  - ,      b. 30 May 2004
Pablo Cortés,                 F,  - ,      b. 28 May 2004 @ Zaragoza
Yellu,                        M,  1.92 m,  b. 25 May 2004 @ Murcia
Hodei Arrillaga,              D,  - ,      b. 21 May 2004 @ Mutriku
Saúl del Cerro,               M,  1.85 m,  b. 20 May 2004 @ Burgos
Ángel Alarcón,                F,  1.75 m,  b. 15 May 2004 @ Castelldefels
Juanma Herzog,                M,  1.86 m,  b. 13 May 2004 @ Santa Cruz de Tenerife
Álvaro Bastida,               M,  1.70 m,  b. 12 May 2004 @ Chiclana de la Frontera
Samu Omorodion,               F,  1.93 m,  b. 5 May 2004 @ Melilla
Iker Almena,                  M,  1.77 m,  b. 4 May 2004 @ L'Hospitalet de Llobregat
Chuki,                        M,  - ,      b. 29 Apr 2004 @ Valladolid
Álex Quevedo,                 G,  1.91 m,  b. 28 Apr 2004 @ Mahón
Jorge Cabello,                D,  1.80 m,  b. 25 Apr 2004 @ Telde
Álex Valle,                   D,  1.80 m,  b. 25 Apr 2004 @ Badalona
Carlos Ballestero,            D,  1.78 m,  b. 24 Apr 2004 @ Oviedo
Fran Tafalla,                 D,  - ,      b. 22 Apr 2004 @ Orihuela
Félix Garreta,                D,  - ,      b. 21 Apr 2004 @ Palau-solità i Plegamans
Egoitz Muñoz,                 D,  1.79 m,  b. 14 Apr 2004 @ Vitoria-Gasteiz
Marc Jurado,                  D,  1.78 m,  b. 13 Apr 2004 @ Sabadell
Martín Tejón,                 M,  1.65 m,  b. 12 Apr 2004 @ Villamarchante
Mateo Flores,                 M,  - ,      b. 7 Apr 2004 @ Valencina de la Concepción
Roger Martínez,               M,  1.77 m,  b. 5 Apr 2004 @ Badalona
Ginés Sorroche,               M,  - ,      b. 24 Mar 2004 @ Lorca
Gonzalo García,               F,  1.82 m,  b. 24 Mar 2004 @ Madrid
Joselu,                       F,  - ,      b. 12 Mar 2004 @ Villalbilla
Neco Celorio,                 M,  1.69 m,  b. 7 Mar 2004 @ Torrelavega
Mario Martín,                 M,  1.77 m,  b. 5 Mar 2004 @ Sonseca
Ander Astralaga,              G,  1.90 m,  b. 3 Mar 2004 @ Berango
Jesús Belza,                  F,  - ,      b. 26 Feb 2004
Marco Suárez,                 G,  - ,      b. 26 Feb 2004
Eric Gómez,                   F,  1.74 m,  b. 24 Feb 2004 @ Alcorcón
Javi Navarro,                 M,  - ,      b. 24 Feb 2004 @ Elche
Rafael Obrador,               D,  1.81 m,  b. 24 Feb 2004 @ Campos
Aleix Garrido,                M,  1.70 m,  b. 22 Feb 2004 @ Ripoll
Aitor Gismera,                M,  1.82 m,  b. 21 Feb 2004 @ Getafe
Álex Calvo,                   F,  1.70 m,  b. 20 Feb 2004 @ Córdoba
Fabio Blanco,                 F,  1.79 m,  b. 18 Feb 2004 @ Almería
Marcos Moreno,                F,  - ,      b. 14 Feb 2004
Diego Piñeiro,                G,  1.83 m,  b. 13 Feb 2004 @ Madrid
Dani Requena,                 M,  - ,      b. 12 Feb 2004 @ Cenes de la Vega
Mario Dominguez,              F,  1.75 m,  b. 10 Feb 2004 @ Granada
Joselito,                     M,  1.84 m,  b. 9 Feb 2004 @ Huelva
Jesús Martínez,               M,  - ,      b. 8 Feb 2004 @ Santander
Divaio Bobson,                F,  1.82 m,  b. 6 Feb 2004 @ Barcelona
Ian Forns,                    D,  - ,      b. 5 Feb 2004 @ Cardedeu
Salim El Jebari,              F,  1.78 m,  b. 5 Feb 2004 @ Madrid
Germán García,                G,  - ,      b. 1 Feb 2004 @ Alcalá de Guadaíra
Javi Hernández,               M,  - ,      b. 30 Jan 2004
Israel García,                M,  1.82 m,  b. 29 Jan 2004 @ Leganés
César Fernández,              G,  1.81 m,  b. 28 Jan 2004 @ O Barco de Valdeorras
Edu Llorente,                 M,  - ,      b. 28 Jan 2004 @ Madrid
Ander Sánchez,                M,  - ,      b. 24 Jan 2004 @ Vitoria-Gasteiz
Yuzún Ley,                    D,  1.80 m,  b. 18 Jan 2004 @ Arrecife
Jastin García,                F,  1.80 m,  b. 15 Jan 2004 @ Lleida
Juan Larios,                  D,  1.70 m,  b. 12 Jan 2004 @ Seville
